supplier_id,supplier_name,country,region,country_risk_level,country_risk_weight,category,tier,dependency_level,annual_spend_chf,onboarding_date,charter_signed,made_in_disclosed,traceability_level
S0167,Atlas Manufacturing,Vietnam,Asia,High,25,Metals & Minerals,Tier 2,Low,321830.44,2025-05-24,True,True,Limited
S0168,Cascade Partners,United States,Americas,Low,5,Components,Tier 1,Low,263078.17,2021-10-01,True,True,Partial
S0169,Argent Holdings,France,Europe,Low,5,IT Services,Tier 2,Medium,492029.78,2020-07-30,True,True,Full
S0170,Vega Logistics,United Arab Emirates,Middle East,Medium,15,Tools & Machinery,Tier 2,Low,113061.37,2021-06-14,True,True,Limited
S0171,Cascade Components,Singapore,Asia,Low,5,Facility,Tier 1,Low,144144.55,2025-08-09,True,True,Partial
S0172,Nimbus Materials,Morocco,Africa,Medium,15,IT Services,Tier 1,Low,260577.02,2025-01-17,True,True,Partial
S0173,Meridian Supply,Saudi Arabia,Middle East,Medium,15,Components,Tier 2,High,609708.07,2016-09-16,True,True,Partial
S0174,Orion Group,South Korea,Asia,Low,5,Chemicals,Tier 2,Low,84062.97,2019-03-10,True,True,Limited
S0175,Eclipse Services,Germany,Europe,Low,5,Consulting,Tier 1,Low,101570.48,2017-03-07,True,True,Full
S0176,Atlas Materials,Canada,Americas,Low,5,Components,Tier 1,Low,706542.78,2022-12-18,True,True,Partial
S0177,Vega Industries,Spain,Europe,Low,5,Metals & Minerals,Tier 3,Low,477994.42,2023-05-07,True,True,Partial
S0178,Helios Logistics,New Zealand,Oceania,Low,5,Metals & Minerals,Tier 1,Medium,457850.04,2024-01-11,True,True,Partial
S0179,Meridian Manufacturing,Canada,Americas,Low,5,Components,Tier 1,Low,184473.55,2023-07-02,True,True,Full
S0180,Atlas Components,Philippines,Asia,Medium,15,Logistics,Tier 2,Medium,88374.28,2024-01-23,True,True,Full
S0181,Eclipse Partners,Indonesia,Asia,High,25,Packaging,Tier 2,Low,136047.56,2019-09-19,False,True,Partial
S0182,Atlas Supply,Thailand,Asia,Medium,15,Metals & Minerals,Tier 2,Low,334302.09,2023-10-04,True,True,Partial
S0183,Atlas Partners,Morocco,Africa,Medium,15,Components,Tier 2,Low,471472.63,2024-07-30,True,True,Full
S0184,Zenith Materials,Turkey,Europe/Asia,Medium,15,Chemicals,Tier 1,Medium,138447.42,2020-04-14,True,True,Partial
S0185,Atlas Logistics,Germany,Europe,Low,5,Facility,Tier 3,Low,204751.06,2017-01-11,True,True,Limited
S0186,Cascade Industries,Vietnam,Asia,High,25,Components,Tier 2,Low,583468.73,2025-01-07,True,True,Full
S0187,Nimbus Services,Australia,Oceania,Low,5,IT Services,Tier 1,Medium,462491.31,2019-03-14,True,True,Partial
S0188,Helios Group,United Kingdom,Europe,Low,5,Packaging,Tier 1,High,264820.28,2024-12-12,True,True,Partial
S0189,Cobalt Holdings,Philippines,Asia,Medium,15,Consulting,Tier 1,Low,210940.86,2025-07-01,True,True,Full
S0190,Nimbus Logistics,South Korea,Asia,Low,5,Packaging,Tier 2,Low,124662.66,2021-09-24,True,True,Partial
S0191,Lumen Materials,Malaysia,Asia,Medium,15,Consulting,Tier 3,Low,54975.37,2018-12-06,True,True,Limited
S0192,Atlas Services,Switzerland,Europe,Low,5,Metals & Minerals,Tier 2,Medium,1623099.66,2019-04-14,True,True,Partial
S0193,Helios Holdings,Tunisia,Africa,Medium,15,Consulting,Tier 1,Low,411057.63,2023-11-29,True,True,Partial
S0194,Cobalt Partners,Spain,Europe,Low,5,Logistics,Tier 1,Medium,306609.48,2023-11-22,True,True,Partial
S0195,Argent Manufacturing,Tunisia,Africa,Medium,15,Tools & Machinery,Tier 1,Medium,354569.6,2016-07-29,True,True,Partial
S0196,Lumen Services,United States,Americas,Low,5,Metals & Minerals,Tier 2,Low,148469.52,2021-06-28,True,True,Full
S0197,Meridian Systems,Japan,Asia,Low,5,Components,Tier 1,Low,781173.96,2019-07-04,True,True,Partial
S0198,Alpine Services,United Kingdom,Europe,Low,5,Chemicals,Tier 1,Low,144690.77,2017-03-03,True,True,Partial
S0199,Nimbus Manufacturing,Thailand,Asia,Medium,15,Logistics,Tier 1,High,362343.81,2022-03-06,True,False,Full
S0200,Cobalt Systems,Vietnam,Asia,High,25,Packaging,Tier 1,Medium,103675.42,2017-01-04,True,True,Full
S0201,Nimbus Partners,Vietnam,Asia,High,25,Components,Tier 2,Medium,370241.84,2016-09-22,True,True,Limited
S0202,Atlas Partners,Australia,Oceania,Low,5,Metals & Minerals,Tier 1,Low,238685.68,2024-03-18,True,True,Partial
S0203,Vega Partners,New Zealand,Oceania,Low,5,Components,Tier 1,Low,245641.08,2016-11-05,False,True,Partial
S0204,Vega Services,Germany,Europe,Low,5,Logistics,Tier 1,High,313527.88,2025-11-10,True,True,Partial
S0205,Aurora Systems,Saudi Arabia,Middle East,Medium,15,Tools & Machinery,Tier 1,High,179870.7,2024-02-14,True,False,Partial
S0206,Aurora Manufacturing,United States,Americas,Low,5,Facility,Tier 1,Medium,52787.46,2025-06-19,True,True,Full
S0207,Cobalt Manufacturing,Canada,Americas,Low,5,Chemicals,Tier 2,Low,77864.52,2023-10-07,True,True,Partial
S0208,Nimbus Materials,United States,Americas,Low,5,Components,Tier 1,High,482966.84,2021-07-31,True,False,Full
S0209,Helios Industries,Singapore,Asia,Low,5,Components,Tier 1,Low,711111.88,2017-02-09,True,True,Full
S0210,Meridian Holdings,Brazil,Americas,Medium,15,Consulting,Tier 2,Low,121726.29,2020-12-03,False,False,Limited
S0211,Alpine Supply,Taiwan,Asia,Low,5,Components,Tier 2,Low,299877.08,2016-07-24,True,True,Full
S0212,Meridian Systems,Tunisia,Africa,Medium,15,Logistics,Tier 3,Low,83976.32,2017-03-09,True,True,Partial
S0213,Zenith Group,Japan,Asia,Low,5,Packaging,Tier 1,Medium,210696.68,2023-06-16,True,False,Partial
S0214,Cobalt Partners,Morocco,Africa,Medium,15,Metals & Minerals,Tier 1,Medium,184734.07,2021-10-30,True,True,Partial
S0215,Atlas Partners,Mexico,Americas,Medium,15,Chemicals,Tier 2,Medium,126813.52,2018-11-08,True,True,Partial
S0216,Atlas Manufacturing,Morocco,Africa,Medium,15,Facility,Tier 1,Low,224441.28,2024-09-05,True,True,Full
S0217,Vega Logistics,Vietnam,Asia,High,25,Packaging,Tier 2,Low,165504.73,2016-09-26,True,True,Full
S0218,Atlas Services,Indonesia,Asia,High,25,Components,Tier 2,Low,307432.97,2021-07-14,True,True,Limited
S0219,Vega Manufacturing,Japan,Asia,Low,5,Metals & Minerals,Tier 1,Low,365150.73,2022-04-16,True,True,Partial
S0220,Orion Partners,Mexico,Americas,Medium,15,Consulting,Tier 2,Medium,206051.15,2022-12-14,True,True,Partial
S0221,Argent Supply,Malaysia,Asia,Medium,15,Facility,Tier 2,Low,774541.9,2021-11-02,True,True,Partial
S0222,Meridian Manufacturing,United States,Americas,Low,5,Metals & Minerals,Tier 1,Low,193799.48,2025-01-02,True,True,Partial
S0223,Cobalt Partners,Australia,Oceania,Low,5,Chemicals,Tier 2,Medium,797568.83,2018-10-09,True,True,Limited
S0224,Argent Systems,Tunisia,Africa,Medium,15,Components,Tier 1,High,300085.39,2017-11-17,True,True,Partial
S0225,Aurora Logistics,Malaysia,Asia,Medium,15,Chemicals,Tier 1,Low,29758.9,2021-10-31,False,True,Full
S0226,Aurora Logistics,South Korea,Asia,Low,5,Components,Tier 2,Low,199852.41,2016-10-10,True,False,Partial
