supplier_id,env_score,social_score,governance_score,last_update,data_source
S0059,58.27,66.88,,2025-08-10,Supplier Questionnaire
S0060,61.2,60.27,71.84,2025-11-29,Supplier Questionnaire
S0061,82.53,77.16,76.53,2025-06-24,Third-party Rating
S0062,77.16,,65.66,2025-07-15,Internal Assessment
S0063,80.89,73.5,73.16,2024-03-05,Internal Assessment
S0064,74.7,52.16,56.78,2024-10-24,Supplier Questionnaire
S0065,59.25,60.27,61.87,2025-08-13,Internal Assessment
S0066,63.92,65.36,69.48,2024-08-06,Third-party Rating
S0067,64.01,50.19,70.93,2024-02-06,Third-party Rating
S0068,84.38,69.06,69.61,2024-08-03,Third-party Rating
S0069,,59.72,,2024-08-22,Internal Assessment
S0070,67.06,46.51,64.81,2025-04-12,Internal Assessment
S0071,72.6,71.33,85.25,2024-03-30,Supplier Questionnaire
S0072,52.91,62.1,76.03,2024-11-24,Supplier Questionnaire
S0073,93.01,,73.89,2024-06-25,Supplier Questionnaire
S0074,64.08,75.12,75.04,2025-08-09,Third-party Rating
S0075,80.6,98.0,74.53,2024-07-17,Internal Assessment
S0076,70.91,50.0,76.75,2024-04-07,Supplier Questionnaire
S0077,66.76,69.83,67.6,2024-01-01,Supplier Questionnaire
S0078,77.21,54.49,69.14,2024-07-20,Third-party Rating
S0079,66.72,69.86,74.43,2024-08-18,Supplier Questionnaire
S0080,60.33,61.72,65.0,2024-07-16,Supplier Questionnaire
S0081,70.24,77.49,72.36,2024-11-12,Internal Assessment
S0082,68.94,62.28,70.8,2025-12-04,Supplier Questionnaire
S0083,74.65,61.01,53.05,2025-04-06,Supplier Questionnaire
S0084,68.66,72.27,63.65,2025-05-01,Third-party Rating
S0085,69.89,63.37,58.44,2025-07-24,Third-party Rating
S0086,62.84,,66.26,2024-09-19,Supplier Questionnaire
S0087,70.01,73.21,58.01,2024-06-01,Third-party Rating
S0088,52.04,54.15,63.25,2024-02-08,Internal Assessment
S0089,71.47,,81.94,2024-06-03,Third-party Rating
S0090,58.0,48.55,70.93,2025-10-04,Third-party Rating
S0091,78.7,55.14,55.02,2024-04-09,Internal Assessment
S0092,,86.3,77.29,2024-08-18,Third-party Rating
S0093,56.11,85.71,56.89,2025-10-11,Third-party Rating
S0094,73.38,54.46,51.29,2024-02-12,Third-party Rating
S0095,69.41,52.97,76.67,2024-01-11,Supplier Questionnaire
S0096,,46.7,61.8,2024-01-15,Supplier Questionnaire
S0097,60.71,47.07,,2025-01-22,Third-party Rating
S0098,67.09,64.07,72.14,2024-12-04,Third-party Rating
S0099,,77.57,61.37,2025-07-19,Internal Assessment
S0100,,62.45,71.93,2025-12-13,Third-party Rating
S0101,69.73,66.1,60.81,2024-01-13,Internal Assessment
S0102,56.26,71.77,52.32,2025-01-13,Third-party Rating
S0103,56.61,47.39,71.48,2025-09-10,Third-party Rating
S0104,75.51,79.04,82.09,2024-11-30,Third-party Rating
S0105,59.99,62.06,76.07,2025-06-29,Supplier Questionnaire
S0106,49.57,53.66,64.63,2025-11-30,Supplier Questionnaire
S0107,72.21,70.77,63.66,2024-05-22,Supplier Questionnaire
S0108,65.84,72.07,66.05,2025-07-24,Third-party Rating
S0109,57.89,67.96,74.48,2024-10-10,Internal Assessment
S0110,81.4,51.96,80.64,2024-09-08,Internal Assessment
S0111,60.66,64.6,72.89,2025-05-31,Supplier Questionnaire
S0112,72.24,57.93,68.6,2025-11-30,Internal Assessment
S0113,58.92,73.22,94.21,2024-02-25,Supplier Questionnaire
S0114,75.07,,60.44,2024-12-01,Supplier Questionnaire
S0115,40.88,77.4,51.18,2024-02-06,Supplier Questionnaire
S0116,66.33,70.37,73.34,2024-06-25,Third-party Rating
S0117,49.02,68.55,80.22,2024-02-23,Internal Assessment
S0118,58.37,69.95,,2024-05-18,Internal Assessment
S0119,68.26,62.23,55.23,2024-12-14,Third-party Rating
S0120,77.88,57.46,83.48,2025-04-12,Internal Assessment
S0121,53.44,,77.36,2024-12-30,Supplier Questionnaire
S0122,,71.42,53.13,2024-06-15,Supplier Questionnaire
S0123,56.5,72.25,,2025-06-16,Supplier Questionnaire
S0124,62.48,63.15,56.14,2024-01-22,Internal Assessment
S0125,96.0,68.04,,2024-10-17,Internal Assessment
S0126,54.52,42.87,43.57,2025-07-04,Supplier Questionnaire
S0127,48.33,75.09,61.84,2025-02-15,Internal Assessment
S0128,83.91,88.54,65.8,2024-06-24,Third-party Rating
S0129,,,61.34,2025-11-24,Internal Assessment
S0130,75.86,46.52,87.85,2025-02-27,Third-party Rating
S0131,88.17,69.25,64.91,2025-10-14,Third-party Rating
S0132,58.7,84.93,69.35,2024-12-13,Supplier Questionnaire
S0133,48.49,58.85,52.73,2024-08-30,Supplier Questionnaire
S0134,78.64,66.61,79.99,2024-02-21,Third-party Rating
S0135,33.96,54.39,56.93,2024-08-30,Third-party Rating
S0136,79.04,83.44,84.67,2025-04-22,Supplier Questionnaire
S0137,51.21,68.84,65.46,2024-04-03,Supplier Questionnaire
S0138,69.18,76.28,43.97,2024-02-09,Supplier Questionnaire
S0139,58.13,,76.11,2025-06-25,Third-party Rating
S0140,46.51,52.98,65.2,2024-08-09,Supplier Questionnaire
S0141,72.94,47.23,53.82,2024-09-27,Third-party Rating
S0142,73.62,82.52,56.52,2025-04-27,Third-party Rating
S0143,75.85,,68.53,2025-07-23,Third-party Rating
S0144,74.23,71.82,,2024-01-31,Supplier Questionnaire
S0145,75.5,46.96,79.47,2025-07-08,Internal Assessment
S0146,65.02,71.4,69.39,2025-01-06,Internal Assessment
S0147,81.07,68.8,80.81,2025-06-05,Third-party Rating
S0148,77.88,74.79,71.33,2025-05-22,Third-party Rating
S0149,69.66,60.06,65.55,2024-05-22,Supplier Questionnaire
S0150,68.83,55.41,65.0,2025-12-15,Supplier Questionnaire
S0151,64.4,65.35,65.12,2025-11-22,Supplier Questionnaire
S0152,91.74,42.3,75.33,2024-04-29,Internal Assessment
S0153,75.96,75.19,,2025-09-04,Supplier Questionnaire
S0154,68.28,64.28,76.09,2024-06-20,Supplier Questionnaire
S0155,83.9,,76.51,2024-02-07,Supplier Questionnaire
S0156,75.5,92.83,78.36,2025-09-21,Supplier Questionnaire
S0157,67.92,52.69,40.62,2024-04-06,Supplier Questionnaire
S0158,85.97,57.59,66.89,2025-09-28,Third-party Rating
S0159,79.6,,78.15,2025-02-21,Internal Assessment
S0160,,61.84,58.24,2024-07-28,Supplier Questionnaire
S0161,53.71,41.77,39.3,2025-06-18,Internal Assessment
S0162,83.13,59.78,,2025-07-26,Supplier Questionnaire
S0163,63.64,44.51,59.95,2024-02-11,Internal Assessment
S0164,85.36,77.49,68.62,2025-04-13,Supplier Questionnaire
S0165,78.17,80.38,64.76,2025-07-02,Internal Assessment
S0166,61.74,67.47,71.25,2024-07-20,Internal Assessment
S0167,61.44,55.42,55.3,2024-05-10,Supplier Questionnaire
S0168,,89.16,70.48,2025-05-29,Internal Assessment
S0169,53.54,56.85,61.53,2024-05-29,Internal Assessment
S0170,57.5,41.03,59.85,2024-07-28,Supplier Questionnaire
S0171,,71.83,69.5,2024-02-25,Supplier Questionnaire
S0172,70.77,64.0,71.67,2024-03-08,Supplier Questionnaire
S0173,83.73,79.09,56.3,2024-01-12,Internal Assessment
S0174,78.3,82.28,,2025-03-21,Third-party Rating
S0175,63.77,59.99,87.16,2025-11-22,Supplier Questionnaire
S0176,77.71,68.42,78.49,2025-03-04,Internal Assessment
S0177,79.47,79.04,67.94,2025-03-01,Third-party Rating
S0178,,67.07,61.39,2025-11-30,Supplier Questionnaire
S0179,86.24,66.99,83.08,2025-12-14,Supplier Questionnaire
S0180,,51.63,67.73,2025-06-30,Internal Assessment
S0181,58.69,61.91,49.07,2025-06-12,Supplier Questionnaire
S0182,49.93,62.19,66.22,2025-03-23,Third-party Rating
S0183,53.08,70.28,64.47,2024-05-25,Internal Assessment
S0184,71.63,69.31,75.11,2024-01-11,Supplier Questionnaire
S0185,59.16,,55.75,2024-02-15,Supplier Questionnaire
S0186,51.68,76.46,60.29,2025-03-18,Supplier Questionnaire
S0187,69.2,73.87,,2025-11-11,Supplier Questionnaire
S0188,80.72,55.19,78.86,2025-03-26,Supplier Questionnaire
S0189,77.69,75.65,65.13,2024-09-27,Third-party Rating
S0190,72.38,69.85,79.9,2025-01-27,Supplier Questionnaire
S0191,53.14,42.43,60.73,2025-07-28,Internal Assessment
S0192,79.22,93.7,66.24,2024-06-30,Supplier Questionnaire
S0193,62.94,85.63,87.93,2025-11-14,Supplier Questionnaire
S0194,67.33,65.25,60.04,2024-01-16,Third-party Rating
S0195,69.25,41.96,69.88,2025-11-07,Supplier Questionnaire
S0196,,71.02,,2024-10-26,Supplier Questionnaire
S0197,62.43,80.76,73.49,2024-02-21,Supplier Questionnaire
S0198,72.2,77.51,,2025-10-05,Third-party Rating
S0199,75.71,77.62,66.02,2024-08-14,Third-party Rating
S0200,56.88,60.2,51.06,2025-01-25,Supplier Questionnaire
S0201,44.49,40.13,59.34,2024-08-12,Third-party Rating
S0202,80.47,57.25,63.73,2025-01-04,Third-party Rating
S0203,72.7,56.78,69.58,2024-05-21,Supplier Questionnaire
S0204,98.0,77.01,84.62,2025-09-03,Third-party Rating
S0205,74.2,,85.51,2024-04-27,Internal Assessment
S0206,63.69,59.15,82.81,2025-05-21,Supplier Questionnaire
S0207,67.83,64.46,81.78,2025-01-10,Supplier Questionnaire
S0208,85.18,68.63,78.82,2024-09-15,Supplier Questionnaire
S0209,72.83,67.3,99.84,2024-06-28,Third-party Rating
S0210,68.33,56.25,43.66,2024-06-19,Supplier Questionnaire
S0211,82.21,93.06,60.73,2025-01-29,Supplier Questionnaire
S0212,44.2,72.03,73.5,2024-05-05,Supplier Questionnaire
S0213,48.64,71.04,74.95,2025-01-23,Internal Assessment
S0214,,68.02,61.75,2024-03-26,Internal Assessment
S0215,57.05,57.1,58.04,2024-10-13,Supplier Questionnaire
S0216,75.51,63.41,73.59,2025-01-05,Supplier Questionnaire
S0217,57.0,55.4,,2025-04-03,Third-party Rating
S0218,46.88,,62.54,2024-01-08,Third-party Rating
S0219,77.81,92.1,79.35,2025-09-07,Internal Assessment
S0220,69.89,36.97,65.32,2025-07-31,Supplier Questionnaire
S0221,52.81,59.56,59.8,2024-10-10,Internal Assessment
S0222,74.36,67.69,84.47,2025-01-30,Supplier Questionnaire
S0223,63.93,70.54,77.8,2024-11-12,Supplier Questionnaire
S0224,65.08,53.07,64.8,2024-09-12,Supplier Questionnaire
S0225,62.76,58.79,58.56,2025-06-11,Supplier Questionnaire
S0226,49.94,83.47,77.71,2024-01-07,Third-party Rating
S0227,,58.35,75.19,2025-08-10,Supplier Questionnaire
S0228,71.93,,86.62,2024-02-18,Internal Assessment
S0229,70.57,79.47,75.34,2025-08-09,Third-party Rating
S0230,82.89,57.27,76.52,2025-05-04,Third-party Rating
S0231,82.03,74.37,61.01,2025-10-11,Supplier Questionnaire
S0232,59.21,66.27,62.96,2025-07-07,Supplier Questionnaire
S0233,87.0,74.86,64.72,2025-04-06,Supplier Questionnaire
S0234,84.41,65.89,57.05,2025-06-06,Supplier Questionnaire
S0235,49.52,46.17,51.19,2024-06-05,Supplier Questionnaire
S0236,61.15,75.21,68.59,2025-01-05,Third-party Rating
S0237,65.92,89.23,82.6,2025-08-04,Supplier Questionnaire
S0238,79.31,76.12,62.11,2024-07-11,Supplier Questionnaire
S0239,76.72,,,2024-05-19,Supplier Questionnaire
S0240,63.05,,75.31,2025-03-10,Internal Assessment
S0241,82.48,57.21,75.97,2025-07-09,Internal Assessment
S0242,75.26,53.61,,2024-11-11,Third-party Rating
S0243,72.5,46.22,68.86,2024-08-23,Supplier Questionnaire
S0244,72.37,79.05,75.37,2025-12-28,Internal Assessment
S0245,72.35,68.79,74.22,2024-02-19,Third-party Rating
S0246,53.64,78.94,,2025-08-11,Supplier Questionnaire
S0247,58.83,62.07,69.65,2025-07-26,Supplier Questionnaire
S0248,,40.26,74.76,2025-04-22,Supplier Questionnaire
S0249,81.22,86.95,79.48,2025-02-15,Third-party Rating
S0250,83.91,82.6,72.98,2025-03-04,Supplier Questionnaire
S0251,71.45,66.29,67.84,2025-05-31,Supplier Questionnaire
S0252,,54.75,73.02,2025-03-11,Internal Assessment
S0253,,,69.63,2025-03-09,Supplier Questionnaire
S0254,72.85,61.21,55.12,2025-05-07,Internal Assessment
S0255,59.41,83.78,84.66,2025-05-23,Internal Assessment
S0256,63.04,43.26,71.81,2024-04-24,Supplier Questionnaire
S0257,78.31,82.22,72.07,2024-11-28,Internal Assessment
S0258,60.2,76.43,76.26,2024-05-03,Supplier Questionnaire
S0259,78.54,69.25,67.73,2025-12-02,Internal Assessment
S0260,76.63,56.24,100.0,2024-10-20,Supplier Questionnaire
S0261,70.41,48.19,60.48,2025-03-01,Supplier Questionnaire
S0262,73.96,51.13,87.02,2024-02-07,Third-party Rating
S0263,69.26,60.58,72.76,2025-10-05,Internal Assessment
S0264,67.42,74.98,85.19,2024-06-03,Supplier Questionnaire
S0265,69.3,49.35,,2025-12-28,Third-party Rating
S0266,65.68,71.46,73.67,2024-12-05,Supplier Questionnaire
S0267,,68.64,64.15,2024-02-21,Internal Assessment
S0268,53.53,51.08,51.66,2024-12-08,Supplier Questionnaire
S0269,68.09,67.58,67.69,2025-12-11,Third-party Rating
S0270,72.59,50.57,73.83,2025-08-05,Third-party Rating
S0271,47.97,43.5,58.62,2024-07-06,Supplier Questionnaire
S0272,69.48,87.43,59.75,2024-02-15,Supplier Questionnaire
S0273,78.95,64.31,66.28,2025-09-23,Supplier Questionnaire
S0274,65.73,47.98,76.65,2025-02-15,Third-party Rating
S0275,66.4,69.61,74.65,2024-04-15,Supplier Questionnaire
S0276,,35.88,65.03,2024-12-22,Third-party Rating
S0277,74.19,61.0,86.24,2024-02-11,Internal Assessment
S0278,66.5,53.77,52.1,2025-06-13,Third-party Rating
S0279,,68.77,,2024-08-17,Third-party Rating
S0280,72.69,79.69,73.23,2025-12-23,Supplier Questionnaire
S0281,66.21,75.14,71.56,2025-06-25,Third-party Rating
S0282,51.95,22.1,55.78,2025-09-03,Supplier Questionnaire
S0283,72.51,54.6,,2024-11-27,Supplier Questionnaire
S0284,65.76,65.1,81.1,2024-05-23,Supplier Questionnaire
S0285,89.04,81.51,84.97,2024-06-16,Third-party Rating
S0286,,45.84,85.77,2025-04-28,Third-party Rating
S0287,71.17,51.83,,2024-06-08,Supplier Questionnaire
S0288,55.63,67.3,57.13,2024-07-27,Supplier Questionnaire
S0289,56.95,68.65,75.96,2024-09-25,Supplier Questionnaire
S0290,67.87,72.39,,2025-09-08,Internal Assessment
S0291,70.69,77.81,69.08,2024-06-08,Supplier Questionnaire
S0292,,63.67,,2024-07-11,Internal Assessment
S0293,80.35,,,2024-11-30,Supplier Questionnaire
S0294,68.58,51.43,62.64,2024-12-20,Third-party Rating
S0295,59.63,56.99,72.63,2024-12-07,Supplier Questionnaire
S0296,67.13,80.09,62.15,2024-04-22,Third-party Rating
S0297,35.52,53.0,,2025-08-27,Third-party Rating
S0298,86.88,63.81,,2025-01-07,Supplier Questionnaire
S0299,76.68,,74.57,2024-02-06,Internal Assessment
S0300,98.0,65.68,67.39,2024-11-15,Supplier Questionnaire
S0301,72.13,74.45,73.59,2024-06-22,Internal Assessment
S0302,67.76,70.99,60.96,2024-07-24,Supplier Questionnaire
S0303,70.84,57.44,73.95,2025-07-02,Internal Assessment
S0304,,74.9,65.98,2024-06-21,Supplier Questionnaire
S0305,73.86,87.18,62.42,2024-02-18,Third-party Rating
S0306,72.69,,,2024-06-20,Third-party Rating
S0307,67.05,64.23,70.83,2025-11-12,Internal Assessment
S0308,69.52,73.34,50.84,2025-05-10,Supplier Questionnaire
S0309,,65.53,68.0,2024-07-24,Supplier Questionnaire
S0310,72.55,70.9,75.35,2025-03-30,Internal Assessment
S0311,65.96,65.25,60.24,2024-09-07,Internal Assessment
S0312,65.08,59.38,61.61,2025-11-08,Supplier Questionnaire
S0313,75.24,50.23,67.77,2024-06-29,Supplier Questionnaire
S0314,33.09,83.91,60.65,2025-07-02,Supplier Questionnaire
S0315,70.67,80.25,58.46,2024-10-20,Internal Assessment
S0316,,61.76,,2025-05-19,Third-party Rating
S0317,52.75,51.7,49.24,2024-11-09,Supplier Questionnaire
S0318,64.43,73.75,93.41,2024-07-29,Supplier Questionnaire
S0319,49.88,64.18,57.69,2024-04-30,Supplier Questionnaire
S0320,82.87,60.47,54.92,2025-10-20,Supplier Questionnaire
S0321,82.64,57.84,67.89,2025-08-22,Supplier Questionnaire
S0322,71.0,,79.29,2025-10-17,Third-party Rating
S0323,55.45,56.48,71.9,2025-02-25,Supplier Questionnaire
S0324,68.93,53.66,64.13,2025-12-16,Supplier Questionnaire
S0325,85.16,73.23,73.65,2025-01-23,Supplier Questionnaire
S0326,63.88,41.07,74.24,2025-11-15,Supplier Questionnaire
S0327,55.92,,72.28,2024-06-14,Supplier Questionnaire
S0328,93.88,54.0,81.88,2025-02-25,Supplier Questionnaire
S0329,,59.35,69.16,2024-09-13,Supplier Questionnaire
S0330,74.26,72.84,53.33,2024-08-27,Supplier Questionnaire
S0331,47.81,25.01,59.94,2024-10-05,Supplier Questionnaire
S0332,71.52,67.81,71.15,2024-10-07,Third-party Rating
S0333,44.3,54.34,65.71,2025-01-23,Internal Assessment
S0334,71.49,64.68,55.38,2024-10-24,Internal Assessment
S0335,76.54,56.21,73.53,2025-06-05,Supplier Questionnaire
S0336,79.47,65.38,57.64,2024-03-25,Internal Assessment
S0337,81.1,,70.72,2024-09-15,Internal Assessment
S0338,66.24,33.78,75.29,2025-08-31,Third-party Rating
S0339,79.25,81.37,57.65,2024-03-18,Internal Assessment
S0340,64.91,55.17,58.92,2025-05-08,Third-party Rating
S0341,,73.45,67.18,2024-04-24,Third-party Rating
S0342,70.04,57.6,68.37,2025-10-03,Supplier Questionnaire
S0343,53.86,68.86,87.79,2025-11-30,Supplier Questionnaire
S0344,75.18,75.24,75.7,2025-11-13,Internal Assessment
S0345,77.25,79.31,62.58,2025-07-03,Supplier Questionnaire
S0346,81.03,85.88,64.16,2024-11-08,Internal Assessment
S0347,74.75,71.64,66.11,2025-01-29,Supplier Questionnaire
S0348,69.51,65.21,83.48,2024-10-03,Supplier Questionnaire
S0349,67.14,68.72,69.49,2025-01-10,Third-party Rating
S0350,84.19,76.08,,2024-08-25,Supplier Questionnaire
S0351,68.06,,,2025-05-04,Internal Assessment
S0352,87.79,87.16,67.73,2024-07-13,Third-party Rating
S0353,91.49,83.85,67.43,2025-11-16,Third-party Rating
S0354,78.61,76.32,67.63,2024-06-11,Third-party Rating
S0355,76.51,45.56,64.54,2024-05-04,Supplier Questionnaire
S0356,72.17,88.95,71.72,2025-10-17,Third-party Rating
S0357,73.06,61.93,85.44,2024-04-29,Third-party Rating
S0358,88.55,63.52,64.43,2025-09-25,Supplier Questionnaire
S0359,61.61,67.88,46.82,2024-01-21,Supplier Questionnaire
S0360,73.18,,,2025-07-28,Third-party Rating
S0361,62.11,58.55,46.42,2025-12-11,Supplier Questionnaire
S0362,86.95,47.19,78.07,2025-06-01,Third-party Rating
S0363,79.73,67.79,83.62,2024-02-06,Supplier Questionnaire
S0364,53.73,85.52,73.58,2025-08-11,Supplier Questionnaire
S0365,65.92,62.45,69.0,2024-09-03,Supplier Questionnaire
S0366,60.03,73.13,63.02,2024-02-07,Supplier Questionnaire
S0367,39.93,60.5,62.65,2025-01-21,Internal Assessment
S0368,58.69,74.03,67.33,2025-08-10,Supplier Questionnaire
S0369,,,67.87,2024-09-20,Supplier Questionnaire
S0370,56.05,79.38,56.21,2024-02-11,Third-party Rating
S0371,,66.01,57.49,2025-04-13,Third-party Rating
S0372,75.08,71.28,67.07,2025-10-15,Supplier Questionnaire
S0373,58.98,55.97,58.8,2025-05-05,Internal Assessment
S0374,57.99,65.2,,2025-08-24,Supplier Questionnaire
S0375,57.96,,54.98,2025-05-05,Internal Assessment
S0376,79.31,57.48,65.14,2025-12-25,Supplier Questionnaire
S0377,75.93,86.96,,2024-12-07,Internal Assessment
S0378,74.12,49.23,75.9,2024-11-08,Third-party Rating
S0379,70.13,36.4,62.65,2025-11-13,Supplier Questionnaire
S0380,71.37,74.14,74.89,2025-02-10,Supplier Questionnaire
S0381,56.48,53.88,62.05,2025-09-23,Third-party Rating
S0382,83.3,65.56,84.05,2025-05-08,Supplier Questionnaire
S0383,88.67,86.28,81.62,2024-11-09,Supplier Questionnaire
S0384,89.82,79.02,66.11,2024-06-14,Third-party Rating
S0385,58.5,74.09,84.33,2024-06-08,Supplier Questionnaire
S0386,72.95,74.87,,2024-02-02,Supplier Questionnaire
S0387,,74.0,65.01,2024-08-30,Supplier Questionnaire
S0388,60.61,,57.8,2024-02-29,Third-party Rating
S0389,47.29,78.94,43.48,2024-08-04,Internal Assessment
S0390,64.89,61.63,66.69,2024-02-06,Internal Assessment
S0391,76.85,78.25,68.11,2024-02-20,Third-party Rating
S0392,91.68,57.36,50.82,2024-09-05,Third-party Rating
S0393,64.27,71.26,70.97,2024-08-02,Supplier Questionnaire
S0394,68.67,94.82,81.2,2025-10-19,Supplier Questionnaire
S0395,82.39,84.7,82.31,2024-08-03,Supplier Questionnaire
S0396,74.48,78.83,59.76,2025-04-07,Supplier Questionnaire
S0397,60.62,59.55,55.86,2025-04-30,Third-party Rating
S0398,72.73,33.36,70.38,2024-04-08,Supplier Questionnaire
S0399,65.31,66.76,62.06,2025-06-16,Supplier Questionnaire
S0400,63.27,63.47,,2024-01-01,Third-party Rating
S0401,59.84,81.27,82.53,2025-11-30,Supplier Questionnaire
S0402,76.34,,100.0,2024-03-03,Supplier Questionnaire
S0403,53.48,81.52,63.95,2024-06-24,Internal Assessment
S0404,80.03,59.61,56.43,2024-03-11,Third-party Rating
S0405,89.19,41.15,87.49,2024-08-26,Supplier Questionnaire
S0406,,61.19,,2025-05-05,Supplier Questionnaire
S0407,54.47,75.65,70.05,2024-04-03,Third-party Rating
S0408,62.62,,,2025-05-26,Third-party Rating
S0409,80.32,,91.85,2025-03-27,Supplier Questionnaire
S0410,69.0,,54.36,2025-03-26,Third-party Rating
S0411,66.39,,62.51,2025-03-03,Internal Assessment
S0412,57.18,50.76,56.77,2024-02-11,Supplier Questionnaire
S0413,,57.15,61.06,2025-04-10,Supplier Questionnaire
S0414,68.58,85.65,64.82,2024-07-03,Third-party Rating
S0415,79.14,47.45,85.31,2024-09-23,Supplier Questionnaire
S0416,66.74,52.77,77.48,2024-05-18,Internal Assessment
S0417,78.03,92.56,76.35,2024-01-16,Supplier Questionnaire
S0418,66.57,60.51,70.6,2025-07-13,Third-party Rating
S0419,,79.76,,2025-07-06,Internal Assessment
S0420,,,52.39,2025-11-13,Supplier Questionnaire
S0421,61.81,58.91,73.85,2024-10-02,Third-party Rating
S0422,69.77,62.82,65.55,2025-01-04,Supplier Questionnaire
S0423,76.58,56.24,62.62,2024-03-25,Internal Assessment
S0424,52.13,58.44,66.64,2024-10-09,Supplier Questionnaire
S0425,64.91,91.44,70.27,2025-08-17,Third-party Rating
S0426,64.78,,60.6,2025-11-27,Third-party Rating
S0427,62.23,44.66,79.06,2024-10-20,Third-party Rating
S0428,90.07,58.0,,2024-10-12,Supplier Questionnaire
S0429,69.06,53.26,80.49,2025-09-28,Supplier Questionnaire
S0430,80.91,42.85,80.28,2025-08-09,Third-party Rating
S0431,63.84,68.94,82.75,2024-10-16,Third-party Rating
S0432,70.39,55.75,68.04,2024-04-20,Supplier Questionnaire
S0433,92.73,52.37,80.55,2025-08-27,Third-party Rating
S0434,89.89,70.45,,2025-04-04,Supplier Questionnaire
S0435,67.91,65.84,67.76,2024-03-31,Supplier Questionnaire
S0436,68.01,71.71,62.68,2024-01-30,Supplier Questionnaire
S0437,73.36,34.61,76.14,2025-05-05,Third-party Rating
S0438,64.26,75.55,65.25,2025-11-24,Supplier Questionnaire
S0439,62.25,60.16,87.92,2024-10-05,Supplier Questionnaire
S0440,62.68,70.58,,2025-10-20,Supplier Questionnaire
