supplier_id,audited,audit_date,audit_score,non_compliance_level,action_deadline_days,audited_by_third_party
S0115,False,,,,,False
S0116,True,2024-03-07,76.19,None,365.0,True
S0117,True,2024-04-02,77.52,None,365.0,True
S0118,True,2024-09-17,92.42,None,365.0,False
S0119,True,2024-02-01,75.34,None,365.0,True
S0120,False,,,,,False
S0121,True,2024-06-21,49.18,Minor,180.0,True
S0122,False,,,,,False
S0123,False,,,,,False
S0124,False,,,,,False
S0125,True,2024-02-18,86.74,None,365.0,False
S0126,True,2024-01-21,70.33,None,365.0,False
S0127,False,,,,,False
S0128,True,2024-10-30,74.6,None,365.0,True
S0129,True,2025-06-09,69.47,Minor,180.0,False
S0130,False,,,,,False
S0131,False,,,,,False
S0132,False,,,,,False
S0133,False,,,,,False
S0134,True,2024-05-19,87.72,None,365.0,True
S0135,True,2025-01-12,66.71,None,365.0,True
S0136,False,,,,,False
S0137,False,,,,,False
S0138,False,,,,,False
S0139,True,2025-02-21,66.53,Minor,180.0,True
S0140,True,2025-10-24,65.63,Minor,180.0,True
S0141,True,2025-10-04,51.92,Major,30.0,True
S0142,True,2024-10-26,62.18,None,365.0,True
S0143,False,,,,,False
S0144,True,2024-07-22,71.11,None,365.0,True
S0145,False,,,,,False
S0146,False,,,,,False
S0147,False,,,,,False
S0148,True,2024-08-24,70.48,None,365.0,True
S0149,True,2024-12-02,66.59,Minor,180.0,False
S0150,False,,,,,False
S0151,False,,,,,False
S0152,False,,,,,False
S0153,False,,,,,False
S0154,False,,,,,False
S0155,False,,,,,False
S0156,True,2025-05-05,77.9,None,365.0,True
S0157,True,2025-06-23,49.5,None,365.0,True
S0158,True,2025-09-24,96.36,None,365.0,True
S0159,False,,,,,False
S0160,True,2024-04-02,84.84,None,365.0,True
S0161,True,2025-11-21,75.72,Minor,180.0,False
S0162,False,,,,,False
S0163,True,2024-07-12,65.86,None,365.0,False
S0164,True,2025-11-12,89.94,None,365.0,True
S0165,True,2024-06-08,81.41,None,365.0,False
S0166,False,,,,,False
S0167,True,2024-11-19,80.5,None,365.0,True
S0168,False,,,,,False
S0169,False,,,,,False
S0170,True,2024-03-16,78.48,Minor,180.0,True
S0171,False,,,,,False
S0172,True,2025-12-03,67.67,None,365.0,True
S0173,False,,,,,False
S0174,False,,,,,False
S0175,False,,,,,False
S0176,False,,,,,False
S0177,True,2025-08-23,80.01,Minor,180.0,False
S0178,False,,,,,False
S0179,False,,,,,False
S0180,True,2025-01-13,48.34,Minor,180.0,True
S0181,True,2025-02-28,59.73,None,365.0,False
S0182,False,,,,,False
S0183,True,2025-06-16,92.77,None,365.0,False
S0184,False,,,,,False
S0185,False,,,,,False
S0186,True,2025-05-25,49.84,Major,30.0,False
S0187,True,2025-06-03,58.32,Minor,180.0,True
S0188,False,,,,,False
S0189,False,,,,,False
S0190,False,,,,,False
S0191,True,2024-06-25,62.95,Minor,180.0,False
S0192,True,2024-12-18,75.2,None,365.0,False
S0193,True,2025-07-01,81.98,None,365.0,True
S0194,False,,,,,False
S0195,True,2024-03-11,74.49,None,365.0,True
S0196,False,,,,,False
S0197,False,,,,,False
S0198,False,,,,,False
S0199,True,2025-07-16,71.35,None,365.0,True
S0200,True,2024-06-02,45.46,Minor,180.0,False
S0201,True,2024-10-25,64.6,None,365.0,False
S0202,True,2025-07-23,69.77,None,365.0,True
S0203,False,,,,,False
S0204,True,2025-11-04,87.21,None,365.0,True
S0205,True,2025-03-08,71.96,None,365.0,False
S0206,False,,,,,False
S0207,False,,,,,False
S0208,False,,,,,False
S0209,True,2025-03-17,49.84,None,365.0,True
S0210,True,2025-02-12,86.91,None,365.0,True
S0211,False,,,,,False
S0212,False,,,,,False
S0213,False,,,,,False
S0214,True,2024-05-08,29.03,Major,30.0,False
S0215,True,2025-08-16,58.49,Minor,180.0,True
S0216,True,2025-07-13,72.97,None,365.0,True
S0217,True,2025-11-11,62.71,Minor,180.0,True
S0218,True,2024-04-08,70.6,None,365.0,True
S0219,True,2025-01-13,71.58,None,365.0,False
S0220,True,2024-10-23,62.64,None,365.0,True
S0221,True,2024-10-06,68.97,Minor,180.0,False
S0222,True,2024-05-04,95.59,None,365.0,True
S0223,False,,,,,False
S0224,False,,,,,False
S0225,True,2024-07-14,57.32,Minor,180.0,True
S0226,False,,,,,False
S0227,False,,,,,False
S0228,False,,,,,False
S0229,False,,,,,False
S0230,True,2025-03-22,78.87,None,365.0,True
S0231,True,2025-02-16,76.92,None,365.0,True
S0232,False,,,,,False
S0233,False,,,,,False
S0234,False,,,,,False
S0235,False,,,,,False
S0236,True,2025-10-27,73.18,None,365.0,False
S0237,False,,,,,False
S0238,False,,,,,False
S0239,True,2025-11-21,71.98,Minor,180.0,False
S0240,True,2024-08-08,73.98,None,365.0,True
S0241,True,2025-10-15,76.55,None,365.0,True
S0242,True,2024-11-18,71.2,None,365.0,True
S0243,False,,,,,False
S0244,False,,,,,False
S0245,False,,,,,False
S0246,False,,,,,False
S0247,False,,,,,False
S0248,False,,,,,False
S0249,True,2024-02-03,54.27,Major,30.0,True
S0250,False,,,,,False
S0251,True,2024-12-11,78.09,None,365.0,True
S0252,True,2025-03-23,82.99,Minor,180.0,True
S0253,False,,,,,False
S0254,False,,,,,False
S0255,False,,,,,False
S0256,True,2024-11-12,74.72,None,365.0,True
S0257,False,,,,,False
S0258,False,,,,,False
S0259,True,2025-08-21,42.86,Minor,180.0,True
S0260,False,,,,,False
S0261,False,,,,,False
S0262,True,2024-02-04,81.71,None,365.0,False
S0263,True,2025-05-03,69.9,None,365.0,True
S0264,False,,,,,False
S0265,True,2025-08-16,66.22,Minor,180.0,True
S0266,False,,,,,False
S0267,False,,,,,False
S0268,True,2025-09-14,63.89,None,365.0,True
S0269,False,,,,,False
S0270,True,2025-10-21,83.11,None,365.0,True
S0271,True,2024-08-22,56.97,None,365.0,True
S0272,False,,,,,False
S0273,True,2024-02-02,79.38,None,365.0,True
S0274,True,2025-06-09,59.02,Major,30.0,True
S0275,True,2024-05-19,67.06,Minor,180.0,False
S0276,True,2025-05-04,55.66,Minor,180.0,True
S0277,False,,,,,False
S0278,False,,,,,False
S0279,False,,,,,False
S0280,True,2024-09-16,42.64,Major,30.0,True
S0281,True,2024-08-22,72.72,None,365.0,True
S0282,False,,,,,False
S0283,True,2024-01-18,68.5,None,365.0,True
S0284,True,2024-11-10,73.95,None,365.0,False
S0285,True,2024-03-10,82.09,None,365.0,False
S0286,False,,,,,False
S0287,False,,,,,False
S0288,True,2025-07-07,87.02,None,365.0,True
S0289,True,2024-02-09,94.9,Minor,180.0,True
S0290,True,2024-04-12,63.55,None,365.0,True
S0291,True,2025-01-02,84.77,Minor,180.0,True
S0292,False,,,,,False
S0293,False,,,,,False
S0294,True,2025-02-01,65.89,None,365.0,True
S0295,False,,,,,False
S0296,True,2025-09-06,70.83,None,365.0,False
S0297,True,2025-06-11,49.56,Minor,180.0,True
S0298,False,,,,,False
S0299,True,2025-12-15,71.18,None,365.0,True
S0300,True,2024-04-25,44.27,Minor,180.0,True
S0301,False,,,,,False
S0302,True,2025-04-11,75.99,None,365.0,True
S0303,False,,,,,False
S0304,True,2024-04-04,58.62,Minor,180.0,True
S0305,False,,,,,False
S0306,False,,,,,False
S0307,False,,,,,False
S0308,False,,,,,False
S0309,False,,,,,False
S0310,True,2025-10-10,58.35,None,365.0,True
S0311,False,,,,,False
S0312,True,2024-01-30,83.1,Minor,180.0,True
S0313,True,2024-01-23,70.38,None,365.0,True
S0314,True,2025-12-06,41.64,Major,30.0,True
S0315,True,2024-09-21,74.59,None,365.0,True
S0316,True,2024-02-18,62.74,None,365.0,True
S0317,True,2025-11-23,90.19,None,365.0,True
S0318,False,,,,,False
S0319,False,,,,,False
S0320,False,,,,,False
S0321,False,,,,,False
S0322,False,,,,,False
S0323,False,,,,,False
S0324,False,,,,,False
S0325,True,2024-06-28,52.8,Major,30.0,True
S0326,False,,,,,False
S0327,False,,,,,False
S0328,True,2025-05-28,98.0,None,365.0,False
S0329,True,2024-02-19,64.6,Minor,180.0,False
S0330,False,,,,,False
S0331,True,2025-06-22,57.1,None,365.0,True
S0332,False,,,,,False
S0333,True,2024-05-18,47.57,Major,30.0,False
S0334,False,,,,,False
S0335,True,2025-09-20,82.87,None,365.0,True
S0336,False,,,,,False
S0337,True,2025-11-18,52.29,Major,30.0,True
S0338,True,2024-06-19,69.78,None,365.0,True
S0339,False,,,,,False
S0340,True,2024-02-06,88.69,Minor,180.0,True
S0341,True,2025-01-24,63.21,Minor,180.0,True
S0342,False,,,,,False
S0343,False,,,,,False
S0344,False,,,,,False
S0345,False,,,,,False
S0346,True,2025-11-20,90.68,None,365.0,True
S0347,False,,,,,False
S0348,False,,,,,False
S0349,False,,,,,False
S0350,False,,,,,False
S0351,False,,,,,False
S0352,False,,,,,False
S0353,False,,,,,False
S0354,True,2024-12-23,68.24,Minor,180.0,True
S0355,False,,,,,False
S0356,False,,,,,False
S0357,False,,,,,False
S0358,False,,,,,False
S0359,True,2025-01-09,62.55,None,365.0,True
S0360,True,2024-12-09,44.12,Minor,180.0,False
S0361,True,2025-05-30,64.44,Minor,180.0,True
S0362,False,,,,,False
S0363,False,,,,,False
S0364,False,,,,,False
S0365,True,2024-01-31,83.82,None,365.0,False
S0366,False,,,,,False
S0367,False,,,,,False
S0368,True,2024-12-28,63.42,None,365.0,True
S0369,False,,,,,False
S0370,False,,,,,False
S0371,False,,,,,False
S0372,False,,,,,False
S0373,False,,,,,False
S0374,True,2025-07-09,66.52,Minor,180.0,True
S0375,True,2025-12-19,76.05,None,365.0,True
S0376,False,,,,,False
S0377,False,,,,,False
S0378,False,,,,,False
S0379,False,,,,,False
S0380,False,,,,,False
S0381,True,2024-11-27,79.84,None,365.0,False
S0382,False,,,,,False
S0383,False,,,,,False
S0384,False,,,,,False
S0385,False,,,,,False
S0386,True,2025-01-29,70.69,None,365.0,True
S0387,False,,,,,False
S0388,False,,,,,False
S0389,False,,,,,False
S0390,True,2024-09-29,78.8,None,365.0,True
S0391,False,,,,,False
S0392,False,,,,,False
S0393,False,,,,,False
S0394,False,,,,,False
S0395,False,,,,,False
S0396,True,2024-12-26,63.01,Minor,180.0,True
S0397,True,2025-10-19,68.44,Major,30.0,True
S0398,True,2025-05-07,55.13,None,365.0,True
S0399,False,,,,,False
S0400,True,2025-03-17,81.62,None,365.0,True
S0401,False,,,,,False
S0402,False,,,,,False
S0403,False,,,,,False
S0404,False,,,,,False
S0405,False,,,,,False
S0406,False,,,,,False
S0407,False,,,,,False
S0408,True,2024-03-29,79.14,None,365.0,True
S0409,True,2024-10-21,68.65,None,365.0,False
S0410,True,2025-03-05,69.8,Minor,180.0,False
S0411,True,2024-05-07,61.39,None,365.0,False
S0412,True,2025-12-21,93.51,None,365.0,True
S0413,False,,,,,False
S0414,False,,,,,False
S0415,True,2024-08-25,78.68,None,365.0,True
S0416,True,2024-03-10,88.84,None,365.0,True
S0417,False,,,,,False
S0418,True,2024-01-19,60.14,Minor,180.0,False
S0419,True,2025-08-14,50.33,Minor,180.0,True
S0420,True,2024-02-14,67.99,Minor,180.0,False
S0421,True,2024-04-28,75.26,None,365.0,False
S0422,False,,,,,False
S0423,True,2024-07-01,86.49,None,365.0,False
S0424,False,,,,,False
S0425,False,,,,,False
S0426,False,,,,,False
S0427,False,,,,,False
S0428,False,,,,,False
S0429,True,2024-02-17,79.57,None,365.0,True
S0430,True,2024-10-22,92.75,None,365.0,True
S0431,False,,,,,False
S0432,True,2024-09-22,79.45,None,365.0,True
S0433,True,2025-12-09,65.23,Minor,180.0,True
S0434,False,,,,,False
S0435,False,,,,,False
S0436,True,2024-05-08,54.02,None,365.0,False
S0437,True,2024-11-22,93.89,None,365.0,True
S0438,False,,,,,False
S0439,False,,,,,False
S0440,True,2024-07-04,77.79,Minor,180.0,True
S0441,False,,,,,False
S0442,True,2025-01-31,80.21,Minor,180.0,True
S0443,True,2024-08-10,53.82,Major,30.0,False
S0444,False,,,,,False
S0445,True,2025-05-18,86.03,None,365.0,True
S0446,False,,,,,False
S0447,False,,,,,False
S0448,False,,,,,False
S0449,False,,,,,False
S0450,False,,,,,False
S0451,False,,,,,False
S0452,False,,,,,False
S0453,False,,,,,False
S0454,False,,,,,False
S0455,True,2024-10-11,67.69,Minor,180.0,False
S0456,False,,,,,False
S0457,True,2024-09-25,36.96,Minor,180.0,True
S0458,True,2024-03-14,91.49,None,365.0,True
S0459,False,,,,,False
S0460,True,2025-05-01,63.4,Minor,180.0,True
S0461,False,,,,,False
S0462,False,,,,,False
S0463,False,,,,,False
S0464,False,,,,,False
S0465,True,2024-07-27,57.0,Minor,180.0,True
S0466,True,2024-06-02,76.35,None,365.0,True
S0467,True,2024-01-17,69.6,None,365.0,False
S0468,False,,,,,False
S0469,False,,,,,False
S0470,False,,,,,False
S0471,True,2024-06-15,67.11,Minor,180.0,False
S0472,True,2024-07-23,82.52,None,365.0,True
S0473,False,,,,,False
S0474,True,2024-02-24,67.75,Minor,180.0,True
S0475,False,,,,,False
S0476,False,,,,,False
S0477,True,2024-04-07,62.18,None,365.0,True
S0478,False,,,,,False
S0479,False,,,,,False
S0480,False,,,,,False
S0481,False,,,,,False
S0482,False,,,,,False
S0483,False,,,,,False
S0484,False,,,,,False
S0485,True,2025-05-31,86.23,None,365.0,False
S0486,False,,,,,False
S0487,True,2025-02-10,82.91,None,365.0,True
S0488,False,,,,,False
S0489,False,,,,,False
S0490,True,2024-03-25,56.28,None,365.0,True
S0491,False,,,,,False
S0492,True,2025-01-26,58.68,None,365.0,True
S0493,False,,,,,False
S0494,False,,,,,False
S0495,False,,,,,False
S0496,False,,,,,False
S0497,False,,,,,False
S0498,False,,,,,False
S0499,True,2025-03-16,59.13,Minor,180.0,True
S0500,False,,,,,False
S0501,True,2025-09-28,42.81,Minor,180.0,True
S0502,True,2024-07-06,72.71,None,365.0,False
S0503,True,2024-12-16,87.06,None,365.0,False
S0504,True,2024-09-25,75.76,None,365.0,False
S0505,True,2024-09-29,91.71,None,365.0,True
S0506,True,2025-04-20,66.93,Minor,180.0,True
S0507,True,2025-03-24,83.77,None,365.0,False
S0508,False,,,,,False
S0509,True,2024-01-29,65.1,Minor,180.0,True
S0510,False,,,,,False
S0511,False,,,,,False
S0512,True,2025-09-27,48.53,Minor,180.0,True
S0513,False,,,,,False
S0514,False,,,,,False
S0515,False,,,,,False
S0516,False,,,,,False
S0517,False,,,,,False
S0518,False,,,,,False
S0519,False,,,,,False
S0520,False,,,,,False
S0521,False,,,,,False
S0522,False,,,,,False
S0523,False,,,,,False
S0524,False,,,,,False
S0525,False,,,,,False
S0526,True,2024-12-28,75.26,None,365.0,False
S0527,True,2025-05-02,47.62,Major,30.0,True
S0528,False,,,,,False
S0529,False,,,,,False
S0530,True,2024-04-10,70.4,None,365.0,True
S0531,True,2024-11-16,33.73,Minor,180.0,True
S0532,False,,,,,False
S0533,False,,,,,False
S0534,False,,,,,False
S0535,False,,,,,False
S0536,True,2025-05-10,63.33,Minor,180.0,True
S0537,True,2024-11-03,65.71,None,365.0,False
S0538,False,,,,,False
S0539,False,,,,,False
S0540,False,,,,,False
S0541,True,2025-08-12,70.13,None,365.0,True
S0542,False,,,,,False
S0543,False,,,,,False
S0544,True,2024-03-20,51.67,None,365.0,True
S0545,True,2025-02-19,66.02,Minor,180.0,True
S0546,True,2025-09-20,66.72,Minor,180.0,True
S0547,False,,,,,False
S0548,False,,,,,False
S0549,False,,,,,False
S0550,True,2025-05-03,84.33,None,365.0,True
S0551,False,,,,,False
S0552,False,,,,,False
S0553,True,2025-01-31,66.46,None,365.0,True
S0554,True,2025-11-21,58.75,Major,30.0,True
S0555,True,2024-10-29,76.45,None,365.0,True
S0556,False,,,,,False
S0557,True,2025-11-10,52.12,Major,30.0,False
S0558,False,,,,,False
S0559,False,,,,,False
S0560,True,2025-09-02,74.54,None,365.0,True
S0561,True,2025-08-22,53.73,Major,30.0,True
S0562,False,,,,,False
S0563,False,,,,,False
S0564,True,2024-07-27,87.45,None,365.0,True
S0565,True,2024-02-11,63.36,Minor,180.0,True
S0566,False,,,,,False
S0567,False,,,,,False
S0568,False,,,,,False
S0569,False,,,,,False
S0570,False,,,,,False
S0571,False,,,,,False
S0572,False,,,,,False
S0573,False,,,,,False
S0574,False,,,,,False
S0575,False,,,,,False
S0576,False,,,,,False
S0577,False,,,,,False
S0578,False,,,,,False
S0579,False,,,,,False
S0580,True,2024-09-26,98.0,Minor,180.0,True
S0581,False,,,,,False
S0582,False,,,,,False
S0583,True,2025-06-15,81.84,None,365.0,False
S0584,False,,,,,False
S0585,False,,,,,False
S0586,True,2024-09-16,87.79,None,365.0,True
S0587,False,,,,,False
S0588,False,,,,,False
S0589,False,,,,,False
S0590,False,,,,,False
S0591,False,,,,,False
S0592,True,2025-02-03,93.0,None,365.0,True
S0593,False,,,,,False
S0594,False,,,,,False
S0595,True,2025-04-12,60.3,None,365.0,True
S0596,True,2024-03-28,62.07,Minor,180.0,True
S0597,True,2024-06-12,79.38,None,365.0,False
S0598,False,,,,,False
S0599,False,,,,,False
S0600,True,2025-05-26,71.51,Minor,180.0,True
S0601,False,,,,,False
S0602,True,2025-07-29,58.32,None,365.0,True
S0603,True,2024-10-14,38.89,Major,30.0,False
S0604,False,,,,,False
S0605,True,2024-05-20,73.11,None,365.0,True
S0606,False,,,,,False
S0607,False,,,,,False
S0608,True,2025-12-23,56.72,Minor,180.0,True
S0609,True,2024-05-01,79.94,None,365.0,True
S0610,False,,,,,False
S0611,False,,,,,False
S0612,False,,,,,False
S0613,False,,,,,False
S0614,True,2025-05-28,65.17,Minor,180.0,True
S0615,True,2025-11-21,92.31,Minor,180.0,True
S0616,True,2024-12-05,66.8,None,365.0,True
S0617,False,,,,,False
S0618,False,,,,,False
S0619,True,2025-04-05,55.42,Minor,180.0,True
S0620,True,2025-01-05,61.9,Minor,180.0,False
S0621,False,,,,,False
S0622,True,2025-01-20,71.74,None,365.0,True
S0623,True,2025-04-29,81.04,None,365.0,False
S0624,True,2024-03-23,64.53,Minor,180.0,False
S0625,True,2025-10-14,98.0,None,365.0,True
S0626,True,2025-11-02,63.2,Minor,180.0,False
S0627,True,2025-01-30,73.96,None,365.0,True
S0628,False,,,,,False
S0629,True,2024-04-18,68.02,Minor,180.0,True
S0630,True,2025-06-05,64.08,Minor,180.0,True
S0631,False,,,,,False
S0632,True,2025-10-31,76.66,None,365.0,False
S0633,False,,,,,False
S0634,False,,,,,False
S0635,True,2024-10-14,93.05,None,365.0,True
S0636,False,,,,,False
S0637,False,,,,,False
S0638,True,2024-01-01,74.63,None,365.0,True
S0639,True,2025-05-07,59.06,None,365.0,True
S0640,True,2024-10-31,66.49,Minor,180.0,False
S0641,False,,,,,False
S0642,False,,,,,False
S0643,True,2024-02-24,92.45,None,365.0,True
S0644,False,,,,,False
S0645,True,2024-05-20,70.48,None,365.0,True
S0646,True,2025-10-15,80.54,None,365.0,True
S0647,True,2024-03-26,89.76,None,365.0,True
S0648,True,2024-05-08,56.82,Minor,180.0,True
S0649,True,2025-02-27,75.08,Minor,180.0,True
S0650,False,,,,,False
S0651,True,2025-05-04,79.18,None,365.0,True
S0652,False,,,,,False
S0653,False,,,,,False
S0654,True,2024-05-17,60.52,Minor,180.0,True
S0655,False,,,,,False
S0656,False,,,,,False
S0657,False,,,,,False
S0658,True,2024-06-03,85.22,Minor,180.0,True
S0659,False,,,,,False
S0660,False,,,,,False
S0661,True,2024-08-16,47.28,None,365.0,True
S0662,False,,,,,False
S0663,True,2024-11-23,64.55,Minor,180.0,True
S0664,True,2024-08-21,84.69,Minor,180.0,True
S0665,False,,,,,False
S0666,False,,,,,False
S0667,True,2025-02-17,62.24,None,365.0,True
S0668,False,,,,,False
S0669,True,2024-04-24,73.15,None,365.0,True
S0670,True,2025-04-19,98.0,Minor,180.0,False
S0671,True,2025-10-11,89.36,None,365.0,True
S0672,False,,,,,False
S0673,False,,,,,False
S0674,True,2025-07-01,64.89,None,365.0,True
S0675,True,2024-12-22,58.87,Major,30.0,True
S0676,True,2025-12-19,83.12,None,365.0,True
S0677,True,2025-05-02,70.17,Minor,180.0,False
S0678,True,2025-03-31,75.0,None,365.0,False
S0679,False,,,,,False
S0680,True,2024-02-11,63.98,None,365.0,False
S0681,False,,,,,False
S0682,True,2024-08-30,59.52,Minor,180.0,True
S0683,True,2024-11-15,69.81,Minor,180.0,True
S0684,True,2025-05-18,72.35,None,365.0,False
S0685,True,2025-01-10,64.11,Minor,180.0,True
S0686,False,,,,,False
S0687,False,,,,,False
S0688,False,,,,,False
S0689,False,,,,,False
S0690,False,,,,,False
S0691,False,,,,,False
S0692,False,,,,,False
S0693,True,2025-03-08,66.22,None,365.0,True
S0694,False,,,,,False
S0695,True,2024-02-22,78.56,Minor,180.0,True
S0696,True,2025-07-03,87.24,None,365.0,True
S0697,False,,,,,False
S0698,False,,,,,False
S0699,False,,,,,False
S0700,True,2025-06-06,68.15,None,365.0,True
S0701,False,,,,,False
S0702,True,2025-04-13,91.14,None,365.0,True
S0703,True,2024-01-29,80.05,None,365.0,False
S0704,False,,,,,False
S0705,False,,,,,False
S0706,False,,,,,False
S0707,True,2024-12-31,85.3,None,365.0,False
S0708,True,2024-09-17,88.84,None,365.0,True
S0709,False,,,,,False
S0710,True,2025-05-20,55.38,Minor,180.0,False
S0711,True,2025-09-27,92.71,None,365.0,True
S0712,False,,,,,False
S0713,False,,,,,False
S0714,False,,,,,False
S0715,True,2025-02-13,63.2,Major,30.0,True
S0716,True,2025-10-06,98.0,None,365.0,True
S0717,True,2025-02-25,98.0,None,365.0,True
S0718,True,2025-07-01,92.35,None,365.0,True
S0719,True,2024-12-18,71.74,None,365.0,True
S0720,False,,,,,False
S0721,True,2024-03-09,75.64,None,365.0,True
S0722,False,,,,,False
S0723,True,2024-08-15,81.41,None,365.0,False
S0724,False,,,,,False
S0725,True,2024-08-11,67.4,Minor,180.0,True
S0726,False,,,,,False
S0727,True,2025-03-08,70.91,Minor,180.0,True
S0728,False,,,,,False
S0729,False,,,,,False
S0730,False,,,,,False
S0731,False,,,,,False
S0732,True,2025-11-14,63.49,Minor,180.0,True
S0733,False,,,,,False
S0734,False,,,,,False
S0735,False,,,,,False
S0736,True,2025-05-18,92.34,None,365.0,True
S0737,False,,,,,False
S0738,True,2024-09-08,87.37,None,365.0,True
S0739,False,,,,,False
S0740,True,2024-09-16,86.86,None,365.0,True
S0741,False,,,,,False
S0742,True,2024-02-05,65.16,Minor,180.0,True
S0743,False,,,,,False
S0744,False,,,,,False
S0745,True,2025-07-10,65.78,Minor,180.0,True
S0746,True,2025-01-27,62.94,Minor,180.0,True
S0747,False,,,,,False
S0748,True,2024-11-22,56.61,Minor,180.0,True
S0749,False,,,,,False
S0750,False,,,,,False
S0751,False,,,,,False
S0752,False,,,,,False
S0753,False,,,,,False
S0754,True,2024-02-22,76.87,None,365.0,True
S0755,False,,,,,False
S0756,False,,,,,False
S0757,False,,,,,False
S0758,False,,,,,False
S0759,False,,,,,False
S0760,False,,,,,False
S0761,True,2025-12-20,75.77,Minor,180.0,True
S0762,True,2025-02-08,76.28,None,365.0,True
S0763,True,2024-04-11,74.44,None,365.0,False
S0764,True,2024-03-11,79.94,None,365.0,True
S0765,True,2025-01-30,77.03,None,365.0,True
S0766,True,2025-01-20,72.97,None,365.0,True
S0767,False,,,,,False
S0768,False,,,,,False
S0769,True,2024-06-01,81.24,None,365.0,True
S0770,True,2025-04-30,73.66,None,365.0,True
S0771,False,,,,,False
S0772,False,,,,,False
S0773,False,,,,,False
S0774,False,,,,,False
S0775,False,,,,,False
S0776,False,,,,,False
S0777,True,2024-04-29,55.72,Minor,180.0,True
S0778,False,,,,,False
S0779,False,,,,,False
S0780,False,,,,,False
