supplier_id,supplier_name,category,country,region,annual_spend_chf,risk_score,risk_class,recommended_action,esg_completeness,data_source,last_update
S0013,Eclipse Industries,IT Services,United Arab Emirates,Middle East,525717.36,46.296,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Internal Assessment,2025-01-05
S0014,Nimbus Materials,Facility,Japan,Asia,115480.85,34.606,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2025-05-27
S0015,Helios Systems,Metals & Minerals,India,Asia,196896.26,100.0,High Risk,Immediate corrective action + 30-day follow-up,1.0,Supplier Questionnaire,2025-10-24
S0016,Meridian Partners,Chemicals,Brazil,Americas,177857.52,55.3316,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-08-13
S0017,Novatek Industries,Logistics,Switzerland,Europe,100658.52,45.795199999999994,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-03-24
S0018,Zenith Materials,Tools & Machinery,Canada,Americas,184299.87,54.876000000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-09-26
S0019,Meridian Partners,IT Services,Spain,Europe,104654.46,63.2184,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-02-28
S0020,Eclipse Manufacturing,Facility,Singapore,Asia,69830.86,49.0016,Medium Risk,Request signature/commitment before continuation,1.0,Supplier Questionnaire,2025-05-03
S0021,Argent Systems,Components,Italy,Europe,691413.47,29.351599999999998,Low Risk,Approved; monitor annually,0.6666666666666666,Internal Assessment,2025-04-09
S0022,Novatek Partners,Components,France,Europe,140224.94,49.7992,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-09-29
S0023,Helios Supply,Facility,Spain,Europe,47807.23,47.3004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-01-09
S0024,Helios Industries,Packaging,Japan,Asia,190515.53,57.062000000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-12-20
S0025,Orion Logistics,Facility,Tunisia,Africa,249759.65,47.8044,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Third-party Rating,2024-09-07
S0026,Eclipse Industries,Components,India,Asia,266937.3,68.6916,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-09-09
S0027,Alpine Materials,Tools & Machinery,Germany,Europe,277456.6,45.3556,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-08-11
S0028,Argent Partners,Metals & Minerals,Tunisia,Africa,450258.9,46.9548,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-08-05
S0029,Argent Services,Facility,Japan,Asia,112587.84,49.519999999999996,Medium Risk,Request signature/commitment before continuation,1.0,Internal Assessment,2024-08-20
S0030,Cascade Materials,Metals & Minerals,France,Europe,1334622.14,43.8484,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-03-14
S0031,Vega Industries,Logistics,Germany,Europe,179287.91,36.416000000000004,Low Risk,Approved; monitor annually,0.6666666666666666,Supplier Questionnaire,2024-11-10
S0032,Atlas Components,Metals & Minerals,Philippines,Asia,223657.83,60.547200000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-01-19
S0033,Cobalt Holdings,Components,Mexico,Americas,177087.78,43.9736,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Third-party Rating,2024-10-26
S0034,Meridian Components,Consulting,Indonesia,Asia,265492.28,75.4552,High Risk,Prioritize for audit and mitigation plan,1.0,Supplier Questionnaire,2025-03-18
S0035,Eclipse Industries,Components,Morocco,Africa,816887.76,69.51599999999999,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-05-17
S0036,Helios Partners,Chemicals,Japan,Asia,342841.7,50.556400000000004,Medium Risk,Request signature/commitment before continuation,0.6666666666666666,Supplier Questionnaire,2024-01-21
S0037,Cobalt Logistics,Components,Spain,Europe,155525.41,39.5508,Low Risk,Approved; monitor annually,0.6666666666666666,Internal Assessment,2024-01-23
S0038,Orion Systems,Tools & Machinery,New Zealand,Oceania,279592.22,44.0132,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-01-18
S0039,Argent Materials,Metals & Minerals,Mexico,Americas,244047.45,52.4472,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-03-25
S0040,Meridian Industries,Metals & Minerals,Thailand,Asia,308639.8,56.994800000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-10-10
S0041,Vega Materials,Components,New Zealand,Oceania,583009.69,49.410000000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-10-08
S0042,Atlas Group,Tools & Machinery,Canada,Americas,688772.61,70.11510000000001,High Risk,Immediate corrective action + 30-day follow-up,1.0,Third-party Rating,2024-04-22
S0043,Alpine Manufacturing,IT Services,United Arab Emirates,Middle East,184755.74,46.080600000000004,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2024-11-17
S0044,Lumen Components,Components,Canada,Americas,138909.6,50.6064,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-05-22
S0045,Cascade Partners,Components,Tunisia,Africa,473203.7,63.967600000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-02-27
S0046,Helios Holdings,Tools & Machinery,Turkey,Europe/Asia,2003038.66,52.09,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-04-02
S0047,Novatek Logistics,Components,South Africa,Africa,326301.18,89.10480000000001,High Risk,Request signature/commitment before continuation,1.0,Internal Assessment,2025-03-29
S0048,Lumen Components,Facility,France,Europe,205006.66,39.019200000000005,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2024-01-29
S0049,Meridian Logistics,Packaging,Morocco,Africa,141985.92,60.8232,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-01-24
S0050,Nimbus Systems,Components,Vietnam,Asia,476463.99,68.6783,Medium Risk,Monitor quarterly; request additional evidence,0.3333333333333333,Supplier Questionnaire,2025-08-02
S0051,Nimbus Holdings,Tools & Machinery,Taiwan,Asia,159395.46,36.339600000000004,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2024-12-18
S0052,Zenith Materials,IT Services,Philippines,Asia,108944.56,54.856,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-09-30
S0053,Lumen Logistics,Metals & Minerals,Japan,Asia,744731.52,43.8592,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2025-01-08
S0054,Cobalt Group,Chemicals,Canada,Americas,211715.97,36.970400000000005,Low Risk,Request signature/commitment before continuation,1.0,Supplier Questionnaire,2025-09-23
S0055,Alpine Supply,IT Services,New Zealand,Oceania,175898.44,32.3112,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2025-02-22
S0056,Cascade Supply,Packaging,Singapore,Asia,565191.35,27.576800000000006,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2025-10-13
S0057,Cobalt Holdings,Metals & Minerals,India,Asia,204191.77,88.4833,High Risk,Immediate corrective action + 30-day follow-up,1.0,Internal Assessment,2024-01-14
S0058,Cobalt Manufacturing,Facility,Saudi Arabia,Middle East,125225.36,58.4364,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2025-06-11
S0059,Cobalt Supply,Facility,Mexico,Americas,175321.6,53.4992,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2025-08-10
S0060,Argent Materials,Components,South Korea,Asia,441221.18,60.7547,Medium Risk,Immediate corrective action + 30-day follow-up,1.0,Supplier Questionnaire,2025-11-29
S0061,Nimbus Holdings,Components,South Korea,Asia,115400.13,36.288,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2025-06-24
S0062,Nimbus Group,Metals & Minerals,South Korea,Asia,217384.33,48.912,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Internal Assessment,2025-07-15
S0063,Alpine Group,Facility,Thailand,Asia,143053.14,44.7896,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-03-05
S0064,Eclipse Industries,IT Services,Turkey,Europe/Asia,191132.42,75.3004,High Risk,Prioritize for audit and mitigation plan,1.0,Supplier Questionnaire,2024-10-24
S0065,Aurora Group,Logistics,Tunisia,Africa,169994.5,57.7536,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-08-13
S0066,Aurora Supply,Components,Turkey,Europe/Asia,337358.23,59.9748,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-08-06
S0067,Lumen Industries,Metals & Minerals,China,Asia,123431.8,69.2336,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-02-06
S0068,Helios Holdings,Metals & Minerals,Singapore,Asia,350545.66,37.2244,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2024-08-03
S0069,Zenith Materials,Packaging,United States,Americas,170789.0,47.474000000000004,Medium Risk,Monitor quarterly; request additional evidence,0.3333333333333333,Internal Assessment,2024-08-22
S0070,Argent Components,Metals & Minerals,Brazil,Americas,2569061.08,66.11249999999998,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-04-12
S0071,Zenith Supply,Logistics,Germany,Europe,118609.55,36.61,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2024-03-30
S0072,Atlas Industries,Consulting,United Arab Emirates,Middle East,176084.44,58.2656,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-11-24
S0073,Orion Group,Packaging,Australia,Oceania,406060.83,38.418400000000005,Low Risk,Approved; monitor annually,0.6666666666666666,Supplier Questionnaire,2024-06-25
S0074,Nimbus Holdings,Facility,United Kingdom,Europe,193061.39,42.74679999999999,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-08-09
S0075,Vega Holdings,Components,Mexico,Americas,1759774.86,37.632400000000004,Low Risk,Approved; monitor annually,1.0,Internal Assessment,2024-07-17
S0076,Atlas Logistics,Components,Japan,Asia,186648.07,49.3352,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-04-07
S0077,Nimbus Manufacturing,Logistics,New Zealand,Oceania,62633.28,40.4932,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-01-01
S0078,Novatek Group,Facility,Thailand,Asia,87942.89,56.620400000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-07-20
S0079,Eclipse Services,Components,South Korea,Asia,88027.78,46.306799999999996,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-08-18
S0080,Eclipse Materials,Facility,Morocco,Africa,171931.32,51.869600000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-07-16
S0081,Helios Components,Components,United States,Americas,171599.4,42.9316,Medium Risk,Request signature/commitment before continuation,1.0,Internal Assessment,2024-11-12
S0082,Eclipse Logistics,Components,Brazil,Americas,1237253.9,61.22880000000001,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-12-04
S0083,Cobalt Manufacturing,Consulting,South Korea,Asia,73930.33,52.318000000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-04-06
S0084,Helios Holdings,Components,Turkey,Europe/Asia,442772.68,58.7417,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-05-01
S0085,Eclipse Group,IT Services,Malaysia,Asia,312017.26,66.28200000000001,Medium Risk,Request signature/commitment before continuation,1.0,Third-party Rating,2025-07-24
S0086,Vega Group,Logistics,Philippines,Asia,51678.11,60.3056,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2024-09-19
S0087,Aurora Systems,Logistics,Brazil,Americas,71970.89,55.800000000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-06-01
S0088,Aurora Industries,Metals & Minerals,Germany,Europe,415054.22,52.2788,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-02-08
S0089,Zenith Systems,Components,Canada,Americas,705292.03,35.165600000000005,Low Risk,Approved; monitor annually,0.6666666666666666,Third-party Rating,2024-06-03
S0090,Cascade Materials,IT Services,Indonesia,Asia,197733.49,98.92490000000001,High Risk,Immediate corrective action + 30-day follow-up,1.0,Third-party Rating,2025-10-04
S0091,Cobalt Logistics,Metals & Minerals,Germany,Europe,462079.25,58.05159999999999,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-04-09
S0092,Argent Services,Packaging,South Korea,Asia,206403.39,35.2308,Low Risk,Approved; monitor annually,0.6666666666666666,Third-party Rating,2024-08-18
S0093,Zenith Systems,Components,Philippines,Asia,332515.32,55.0504,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-10-11
S0094,Orion Holdings,Components,Saudi Arabia,Middle East,431171.12,69.1568,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-02-12
S0095,Cascade Materials,IT Services,South Africa,Africa,205758.41,53.092800000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-01-11
S0096,Helios Services,Packaging,Turkey,Europe/Asia,91905.75,59.177600000000005,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2024-01-15
S0097,Eclipse Manufacturing,Components,Mexico,Americas,1035395.52,73.1448,High Risk,Prioritize for audit and mitigation plan,0.6666666666666666,Third-party Rating,2025-01-22
S0098,Aurora Partners,Metals & Minerals,South Africa,Africa,523097.79,55.352000000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-12-04
S0099,Novatek Materials,Tools & Machinery,Spain,Europe,164178.91,45.357600000000005,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Internal Assessment,2025-07-19
S0100,Helios Systems,Logistics,Brazil,Americas,305488.58,68.2936,Medium Risk,Request signature/commitment before continuation,0.6666666666666666,Third-party Rating,2025-12-13
S0101,Cobalt Components,Metals & Minerals,Saudi Arabia,Middle East,503015.04,60.8264,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-01-13
S0102,Aurora Group,Logistics,India,Asia,362300.18,67.5468,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-01-13
S0103,Lumen Manufacturing,Tools & Machinery,Turkey,Europe/Asia,294238.77,62.5696,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-09-10
S0104,Atlas Components,Metals & Minerals,Australia,Oceania,195921.32,27.722399999999997,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2024-11-30
S0105,Meridian Group,Components,South Korea,Asia,538627.56,45.7864,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-06-29
S0106,Vega Services,Consulting,Tunisia,Africa,181752.77,69.22480000000002,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-11-30
S0107,Cascade Systems,Metals & Minerals,Australia,Oceania,307533.7,43.152,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-05-22
S0108,Atlas Systems,Metals & Minerals,Spain,Europe,973609.61,42.000800000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-07-24
S0109,Vega Supply,Logistics,Australia,Oceania,174512.38,53.208200000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-10-10
S0110,Lumen Supply,IT Services,Canada,Americas,85262.9,48.3692,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-09-08
S0111,Nimbus Materials,Metals & Minerals,India,Asia,152016.35,61.45040000000001,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-05-31
S0112,Vega Systems,Logistics,Canada,Americas,239420.8,49.3988,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-11-30
S0113,Meridian Manufacturing,Packaging,Canada,Americas,136111.51,32.8172,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2024-02-25
S0114,Nimbus Logistics,Components,New Zealand,Oceania,633907.14,55.037600000000005,Medium Risk,Request signature/commitment before continuation,0.6666666666666666,Supplier Questionnaire,2024-12-01
S0115,Vega Logistics,Chemicals,India,Asia,237658.51,64.966,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-02-06
S0116,Argent Industries,Components,South Korea,Asia,219566.69,48.2108,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-06-25
S0117,Novatek Systems,Facility,Philippines,Asia,112425.91,64.284,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-02-23
S0118,Meridian Systems,IT Services,United States,Americas,41175.69,46.388,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Internal Assessment,2024-05-18
S0119,Atlas Group,Metals & Minerals,Malaysia,Asia,361209.51,67.1716,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2024-12-14
S0120,Orion Logistics,Components,United Kingdom,Europe,179755.17,43.896,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-04-12
S0121,Helios Materials,Consulting,Saudi Arabia,Middle East,52163.13,68.2886,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2024-12-30
S0122,Atlas Supply,Consulting,Singapore,Asia,156445.21,72.69800000000001,High Risk,Request signature/commitment before continuation,0.6666666666666666,Supplier Questionnaire,2024-06-15
S0123,Nimbus Systems,Components,United Arab Emirates,Middle East,375128.66,50.55159999999999,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2025-06-16
S0124,Novatek Systems,Metals & Minerals,Morocco,Africa,143498.68,63.5308,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-01-22
S0125,Alpine Logistics,IT Services,Germany,Europe,387101.03,28.6156,Low Risk,Approved; monitor annually,0.6666666666666666,Internal Assessment,2024-10-17
S0126,Argent Partners,Metals & Minerals,China,Asia,831926.19,77.394,High Risk,Prioritize for audit and mitigation plan,1.0,Supplier Questionnaire,2025-07-04
S0127,Aurora Industries,Logistics,South Africa,Africa,334206.02,63.8928,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-02-15
S0128,Eclipse Systems,Components,South Korea,Asia,864139.72,31.7832,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2024-06-24
S0129,Novatek Systems,Metals & Minerals,Morocco,Africa,865012.42,67.8557,Medium Risk,Request signature/commitment before continuation,0.3333333333333333,Internal Assessment,2025-11-24
S0130,Helios Partners,Logistics,Malaysia,Asia,3549031.09,58.8892,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-02-27
S0131,Aurora Materials,Logistics,United States,Americas,296761.03,39.5912,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2025-10-14
S0132,Zenith Components,Logistics,Spain,Europe,232953.48,40.15,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-12-13
S0133,Cobalt Manufacturing,Components,Indonesia,Asia,192952.09,69.7592,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-08-30
S0134,Meridian Systems,Components,Singapore,Asia,296262.89,32.49000000000001,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2024-02-21
S0135,Helios Manufacturing,Components,Vietnam,Asia,1938965.78,88.9401,High Risk,Request signature/commitment before continuation,1.0,Third-party Rating,2024-08-30
S0136,Lumen Holdings,Tools & Machinery,South Korea,Asia,80390.01,22.1484,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2025-04-22
S0137,Zenith Supply,Facility,Thailand,Asia,111575.25,57.428000000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-04-03
S0138,Nimbus Services,IT Services,Australia,Oceania,330592.42,56.7972,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-02-09
S0139,Orion Systems,Packaging,Saudi Arabia,Middle East,91835.76,57.691900000000004,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Third-party Rating,2025-06-25
S0140,Eclipse Industries,Metals & Minerals,China,Asia,524193.74,80.7637,High Risk,Prioritize for audit and mitigation plan,1.0,Supplier Questionnaire,2024-08-09
S0141,Nimbus Industries,Consulting,Indonesia,Asia,168797.91,95.33239999999999,High Risk,Immediate corrective action + 30-day follow-up,1.0,Third-party Rating,2024-09-27
S0142,Helios Services,IT Services,Brazil,Americas,96637.27,42.147,Medium Risk,Monitor quarterly; request additional evidence,1.0,Third-party Rating,2025-04-27
S0143,Zenith Holdings,Logistics,Australia,Oceania,32205.29,39.436400000000006,Low Risk,Approved; monitor annually,0.6666666666666666,Third-party Rating,2025-07-23
S0144,Aurora Logistics,IT Services,Philippines,Asia,188935.97,38.699200000000005,Low Risk,Approved; monitor annually,0.6666666666666666,Supplier Questionnaire,2024-01-31
S0145,Alpine Supply,Components,Turkey,Europe/Asia,189935.68,52.8956,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-07-08
S0146,Vega Holdings,Logistics,Taiwan,Asia,148480.79,35.7796,Low Risk,Approved; monitor annually,1.0,Internal Assessment,2025-01-06
S0147,Nimbus Manufacturing,Tools & Machinery,Germany,Europe,536299.03,34.6712,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2025-06-05
S0148,Lumen Holdings,Packaging,Philippines,Asia,325332.87,35.702,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2025-05-22
S0149,Novatek Materials,Logistics,China,Asia,111306.59,69.0977,Medium Risk,Request signature/commitment before continuation,1.0,Supplier Questionnaire,2024-05-22
S0150,Argent Components,Components,Singapore,Asia,212308.14,46.513600000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-12-15
S0151,Cobalt Supply,Logistics,Vietnam,Asia,50451.81,62.7396,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2025-11-22
S0152,Atlas Materials,Components,Australia,Oceania,746198.49,43.687200000000004,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-04-29
S0153,Nimbus Holdings,Consulting,United Arab Emirates,Middle East,888886.61,43.4716,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2025-09-04
S0154,Eclipse Systems,Logistics,Tunisia,Africa,371748.27,45.070800000000006,Medium Risk,Monitor quarterly; request additional evidence,1.0,Supplier Questionnaire,2024-06-20
S0155,Orion Components,Logistics,Italy,Europe,448439.44,41.6288,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2024-02-07
S0156,Zenith Systems,Metals & Minerals,Italy,Europe,203276.38,21.402800000000003,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2025-09-21
S0157,Vega Services,Packaging,China,Asia,232130.63,76.783,High Risk,Prioritize for audit and mitigation plan,1.0,Supplier Questionnaire,2024-04-06
S0158,Vega Industries,Consulting,Australia,Oceania,302460.89,38.2376,Low Risk,Approved; monitor annually,1.0,Third-party Rating,2025-09-28
S0159,Cascade Supply,Logistics,Morocco,Africa,12173.13,47.40800000000001,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Internal Assessment,2025-02-21
S0160,Meridian Holdings,Logistics,Philippines,Asia,71717.49,59.918400000000005,Medium Risk,Request signature/commitment before continuation,0.6666666666666666,Supplier Questionnaire,2024-07-28
S0161,Cascade Services,Components,Malaysia,Asia,1123396.76,96.92720000000001,High Risk,Request signature/commitment before continuation,1.0,Internal Assessment,2025-06-18
S0162,Vega Materials,Metals & Minerals,South Korea,Asia,96937.85,49.064,Medium Risk,Monitor quarterly; request additional evidence,0.6666666666666666,Supplier Questionnaire,2025-07-26
S0163,Lumen Services,Components,Morocco,Africa,1134242.96,58.4778,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-02-11
S0164,Vega Materials,Components,Germany,Europe,113523.78,35.894800000000004,Low Risk,Approved; monitor annually,1.0,Supplier Questionnaire,2025-04-13
S0165,Orion Holdings,Metals & Minerals,Turkey,Europe/Asia,222067.16,48.1372,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2025-07-02
S0166,Cascade Systems,Tools & Machinery,South Korea,Asia,518212.23,41.674800000000005,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-07-20
S0167,Atlas Manufacturing,Metals & Minerals,Vietnam,Asia,321830.44,72.3328,High Risk,Prioritize for audit and mitigation plan,1.0,Supplier Questionnaire,2024-05-10
S0168,Cascade Partners,Components,United States,Americas,263078.17,31.160600000000002,Low Risk,Approved; monitor annually,0.6666666666666666,Internal Assessment,2025-05-29
S0169,Argent Holdings,IT Services,France,Europe,492029.78,53.3292,Medium Risk,Monitor quarterly; request additional evidence,1.0,Internal Assessment,2024-05-29
S0170,Vega Logistics,Tools & Machinery,United Arab Emirates,Middle East,113061.37,77.586,High Risk,Prioritize for audit and mitigation plan,1.0,Supplier Questionnaire,2024-07-28
S0171,Cascade Components,Facility,Singapore,Asia,144144.55,38.9928,Low Risk,Approved; monitor annually,0.6666666666666666,Supplier Questionnaire,2024-02-25
