supplier_id,supplier_name,country,region,country_risk_level,country_risk_weight,category,tier,dependency_level,annual_spend_chf,onboarding_date,charter_signed,made_in_disclosed,traceability_level,env_score,social_score,governance_score,last_update,data_source,audited,audit_date,audit_score,non_compliance_level,action_deadline_days,audited_by_third_party,incident_penalty,esg_fields_present,esg_completeness,env_score_imputed,social_score_imputed,governance_score_imputed,dependency_penalty,tier_penalty,traceability_penalty,charter_penalty,made_in_penalty,audit_penalty,risk_score,risk_class,spend_exposure_class,recommended_action
S0027,Alpine Materials,Germany,Europe,Low,5,Tools & Machinery,Tier 2,Low,277456.6,2019-11-19,True,True,Partial,65.54,89.3,62.26,2024-08-11,Internal Assessment,False,,,,,False,12.0,3,1.0,65.54,89.3,62.26,0,4,4,0,0,2.0,45.3556,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0028,Argent Partners,Tunisia,Africa,Medium,15,Metals & Minerals,Tier 1,High,450258.9,2018-09-17,True,True,Partial,79.19,62.81,83.9,2025-08-05,Supplier Questionnaire,True,2024-12-26,87.11,None,365.0,True,7.0,3,1.0,79.19,62.81,83.9,5,0,4,0,0,0.0,46.9548,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0029,Argent Services,Japan,Asia,Low,5,Facility,Tier 1,Low,112587.84,2018-10-22,False,True,Partial,77.89,70.12,66.79,2024-08-20,Internal Assessment,False,,,,,False,0.0,3,1.0,77.89,70.12,66.79,0,0,4,12,0,2.0,49.519999999999996,Medium Risk,Low Spend,Request signature/commitment before continuation
S0030,Cascade Materials,France,Europe,Low,5,Metals & Minerals,Tier 1,High,1334622.14,2021-06-03,True,True,Partial,84.11,49.97,87.54,2025-03-14,Third-party Rating,False,,,,,False,3.0,3,1.0,84.11,49.97,87.54,5,0,4,0,0,2.0,43.8484,Medium Risk,High Spend,Monitor quarterly; request additional evidence
S0031,Vega Industries,Germany,Europe,Low,5,Logistics,Tier 2,Low,179287.91,2016-09-29,True,False,Full,82.33,81.52,,2024-11-10,Supplier Questionnaire,False,,,,,False,0.0,2,0.6666666666666666,82.33,81.52,67.73,0,4,0,0,5,2.0,36.416000000000004,Low Risk,Low Spend,Approved; monitor annually
S0032,Atlas Components,Philippines,Asia,Medium,15,Metals & Minerals,Tier 2,Medium,223657.83,2025-11-11,True,True,Partial,61.89,50.43,63.13,2024-01-19,Internal Assessment,True,2024-01-30,71.16,None,365.0,True,0.0,3,1.0,61.89,50.43,63.13,2,4,4,0,0,0.0,60.547200000000004,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0033,Cobalt Holdings,Mexico,Americas,Medium,15,Components,Tier 2,Low,177087.78,2016-01-21,True,True,Full,79.1,78.75,,2024-10-26,Third-party Rating,False,,,,,False,3.0,2,0.6666666666666666,79.1,78.75,69.62,0,4,0,0,0,6.0,43.9736,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0034,Meridian Components,Indonesia,Asia,High,25,Consulting,Tier 1,Low,265492.28,2024-02-24,True,False,Limited,58.91,72.32,43.35,2025-03-18,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,58.91,72.32,43.35,0,0,10,0,5,6.0,75.4552,High Risk,Medium Spend,Prioritize for audit and mitigation plan
S0035,Eclipse Industries,Morocco,Africa,Medium,15,Components,Tier 1,Low,816887.76,2023-09-16,True,False,Limited,54.66,57.89,59.76,2025-05-17,Supplier Questionnaire,True,2024-04-21,72.92,None,365.0,True,7.0,3,1.0,54.66,57.89,59.76,0,0,10,0,5,0.0,69.51599999999999,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0036,Helios Partners,Japan,Asia,Low,5,Chemicals,Tier 1,Medium,342841.7,2016-09-27,False,True,Full,77.8,,59.68,2024-01-21,Supplier Questionnaire,False,,,,,False,0.0,2,0.6666666666666666,77.8,68.28,59.68,2,0,0,12,0,2.0,50.556400000000004,Medium Risk,Medium Spend,Request signature/commitment before continuation
S0037,Cobalt Logistics,Spain,Europe,Low,5,Components,Tier 2,Medium,155525.41,2024-08-16,True,True,Full,77.46,68.08,,2024-01-23,Internal Assessment,False,,,,,False,0.0,2,0.6666666666666666,77.46,68.08,69.62,2,4,0,0,0,2.0,39.5508,Low Risk,Low Spend,Approved; monitor annually
S0038,Orion Systems,New Zealand,Oceania,Low,5,Tools & Machinery,Tier 1,Medium,279592.22,2022-03-25,True,True,Full,73.9,57.82,74.74,2024-01-18,Third-party Rating,True,2025-05-01,86.27,Minor,180.0,True,0.0,3,1.0,73.9,57.82,74.74,2,0,0,0,0,7.0,44.0132,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0039,Argent Materials,Mexico,Americas,Medium,15,Metals & Minerals,Tier 1,Medium,244047.45,2019-02-09,True,True,Limited,64.41,84.18,69.05,2024-03-25,Third-party Rating,False,,,,,False,0.0,3,1.0,64.41,84.18,69.05,2,0,10,0,0,6.0,52.4472,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0040,Meridian Industries,Thailand,Asia,Medium,15,Metals & Minerals,Tier 1,Medium,308639.8,2019-04-01,True,True,Partial,66.05,63.88,72.06,2025-10-10,Internal Assessment,False,,,,,False,7.0,3,1.0,66.05,63.88,72.06,2,0,4,0,0,6.0,56.994800000000005,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0041,Vega Materials,New Zealand,Oceania,Low,5,Components,Tier 2,Medium,583009.69,2024-11-12,True,True,Limited,81.73,72.44,66.03,2024-10-08,Internal Assessment,False,,,,,False,3.0,3,1.0,81.73,72.44,66.03,2,4,10,0,0,2.0,49.410000000000004,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0042,Atlas Group,Canada,Americas,Low,5,Tools & Machinery,Tier 3,Medium,688772.61,2020-09-19,True,True,Partial,73.48,71.35,51.65,2024-04-22,Third-party Rating,True,2025-03-04,53.97,Major,30.0,False,0.0,3,1.0,73.48,71.35,51.65,2,8,4,0,0,19.0075,70.11510000000001,High Risk,Medium Spend,Immediate corrective action + 30-day follow-up
S0043,Alpine Manufacturing,United Arab Emirates,Middle East,Medium,15,IT Services,Tier 2,Low,184755.74,2023-08-08,True,True,Partial,,88.78,72.74,2024-11-17,Supplier Questionnaire,True,2024-11-21,65.38,Minor,180.0,True,0.0,2,0.6666666666666666,69.77,88.78,72.74,0,4,4,0,0,8.155000000000001,46.080600000000004,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0044,Lumen Components,Canada,Americas,Low,5,Components,Tier 3,Low,138909.6,2021-08-10,True,True,Full,74.01,52.24,64.14,2024-05-22,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,74.01,52.24,64.14,0,8,0,0,0,2.0,50.6064,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0045,Cascade Partners,Tunisia,Africa,Medium,15,Components,Tier 2,High,473203.7,2021-03-22,True,True,Partial,65.32,57.33,50.19,2025-02-27,Supplier Questionnaire,True,2024-11-23,80.25,None,365.0,True,0.0,3,1.0,65.32,57.33,50.19,5,4,4,0,0,0.0,63.967600000000004,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0046,Helios Holdings,Turkey,Europe/Asia,Medium,15,Tools & Machinery,Tier 1,High,2003038.66,2020-04-09,True,False,Full,77.48,63.94,59.03,2025-04-02,Third-party Rating,True,2025-01-27,85.01,None,365.0,True,0.0,3,1.0,77.48,63.94,59.03,5,0,0,0,5,0.0,52.09,Medium Risk,High Spend,Monitor quarterly; request additional evidence
S0047,Novatek Logistics,South Africa,Africa,Medium,15,Components,Tier 2,Low,326301.18,2019-02-21,False,True,Limited,38.7,54.57,62.91,2025-03-29,Internal Assessment,False,,,,,False,3.0,3,1.0,38.7,54.57,62.91,0,4,10,12,0,6.0,89.10480000000001,High Risk,Medium Spend,Request signature/commitment before continuation
S0048,Lumen Components,France,Europe,Low,5,Facility,Tier 1,High,205006.66,2021-01-30,True,True,Partial,95.58,66.63,65.52,2024-01-29,Supplier Questionnaire,True,2024-10-15,86.29,None,365.0,True,3.0,3,1.0,95.58,66.63,65.52,5,0,4,0,0,0.0,39.019200000000005,Low Risk,Low Spend,Approved; monitor annually
S0049,Meridian Logistics,Morocco,Africa,Medium,15,Packaging,Tier 3,High,141985.92,2020-02-06,True,True,Full,90.44,41.96,69.28,2025-01-24,Supplier Questionnaire,True,2025-04-16,83.92,None,365.0,True,7.0,3,1.0,90.44,41.96,69.28,5,8,0,0,0,0.0,60.8232,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0050,Nimbus Systems,Vietnam,Asia,High,25,Components,Tier 1,Low,476463.99,2023-07-20,True,True,Partial,,54.66,,2025-08-02,Supplier Questionnaire,True,2024-01-15,55.63,Minor,180.0,False,7.0,1,0.3333333333333333,69.185,54.66,69.62,0,0,4,0,0,10.5925,68.6783,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0051,Nimbus Holdings,Taiwan,Asia,Low,5,Tools & Machinery,Tier 2,Low,159395.46,2025-04-16,True,True,Full,78.22,63.56,78.39,2024-12-18,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,78.22,63.56,78.39,0,4,0,0,0,2.0,36.339600000000004,Low Risk,Low Spend,Approved; monitor annually
S0052,Zenith Materials,Philippines,Asia,Medium,15,IT Services,Tier 1,Low,108944.56,2024-01-28,True,True,Limited,66.71,68.06,73.41,2024-09-30,Third-party Rating,False,,,,,False,0.0,3,1.0,66.71,68.06,73.41,0,0,10,0,0,6.0,54.856,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0053,Lumen Logistics,Japan,Asia,Low,5,Metals & Minerals,Tier 1,Medium,744731.52,2024-01-12,True,True,Partial,,63.15,70.64,2025-01-08,Supplier Questionnaire,False,,,,,False,0.0,2,0.6666666666666666,67.95,63.15,70.64,2,0,4,0,0,2.0,43.8592,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0054,Cobalt Group,Canada,Americas,Low,5,Chemicals,Tier 1,Low,211715.97,2017-11-11,False,True,Partial,88.74,94.0,65.57,2025-09-23,Supplier Questionnaire,True,2024-05-29,91.16,None,365.0,True,3.0,3,1.0,88.74,94.0,65.57,0,0,4,12,0,0.0,36.970400000000005,Low Risk,Low Spend,Request signature/commitment before continuation
S0055,Alpine Supply,New Zealand,Oceania,Low,5,IT Services,Tier 1,Medium,175898.44,2024-01-26,True,True,Partial,74.45,74.43,80.69,2025-02-22,Third-party Rating,True,2025-01-19,78.07,None,365.0,True,0.0,3,1.0,74.45,74.43,80.69,2,0,4,0,0,0.0,32.3112,Low Risk,Low Spend,Approved; monitor annually
S0056,Cascade Supply,Singapore,Asia,Low,5,Packaging,Tier 1,High,565191.35,2024-12-14,True,True,Full,82.45,85.99,77.16,2025-10-13,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,82.45,85.99,77.16,5,0,0,0,0,2.0,27.576800000000006,Low Risk,Medium Spend,Approved; monitor annually
S0057,Cobalt Holdings,India,Asia,High,25,Metals & Minerals,Tier 1,Low,204191.77,2018-04-11,True,True,Partial,68.94,23.72,69.9,2024-01-14,Internal Assessment,True,2025-11-09,42.43,Major,30.0,True,0.0,3,1.0,68.94,23.72,69.9,0,0,4,0,0,21.8925,88.4833,High Risk,Low Spend,Immediate corrective action + 30-day follow-up
S0058,Cobalt Manufacturing,Saudi Arabia,Middle East,Medium,15,Facility,Tier 1,Medium,125225.36,2020-04-07,True,False,Partial,70.95,,63.83,2025-06-11,Supplier Questionnaire,False,,,,,False,0.0,2,0.6666666666666666,70.95,66.305,63.83,2,0,4,0,5,6.0,58.4364,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0059,Cobalt Supply,Mexico,Americas,Medium,15,Facility,Tier 2,Low,175321.6,2016-01-26,True,True,Full,58.27,66.88,,2025-08-10,Supplier Questionnaire,False,,,,,False,0.0,2,0.6666666666666666,58.27,66.88,67.76,0,4,0,0,0,6.0,53.4992,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0060,Argent Materials,South Korea,Asia,Low,5,Components,Tier 1,Low,441221.18,2021-02-07,True,True,Full,61.2,60.27,71.84,2025-11-29,Supplier Questionnaire,True,2024-03-28,41.05,Major,30.0,True,0.0,3,1.0,61.2,60.27,71.84,0,0,0,0,0,22.2375,60.7547,Medium Risk,Medium Spend,Immediate corrective action + 30-day follow-up
S0061,Nimbus Holdings,South Korea,Asia,Low,5,Components,Tier 1,Low,115400.13,2017-03-13,True,True,Limited,82.53,77.16,76.53,2025-06-24,Third-party Rating,False,,,,,False,0.0,3,1.0,82.53,77.16,76.53,0,0,10,0,0,2.0,36.288,Low Risk,Low Spend,Approved; monitor annually
S0062,Nimbus Group,South Korea,Asia,Low,5,Metals & Minerals,Tier 2,Medium,217384.33,2019-05-17,True,False,Full,77.16,,65.66,2025-07-15,Internal Assessment,False,,,,,False,3.0,2,0.6666666666666666,77.16,64.68,65.66,2,4,0,0,5,2.0,48.912,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0063,Alpine Group,Thailand,Asia,Medium,15,Facility,Tier 1,Medium,143053.14,2021-03-08,True,True,Partial,80.89,73.5,73.16,2024-03-05,Internal Assessment,False,,,,,False,0.0,3,1.0,80.89,73.5,73.16,2,0,4,0,0,6.0,44.7896,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0064,Eclipse Industries,Turkey,Europe/Asia,Medium,15,IT Services,Tier 2,Medium,191132.42,2023-01-10,True,False,Limited,74.7,52.16,56.78,2024-10-24,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,74.7,52.16,56.78,2,4,10,0,5,6.0,75.3004,High Risk,Low Spend,Prioritize for audit and mitigation plan
S0065,Aurora Group,Tunisia,Africa,Medium,15,Logistics,Tier 2,Low,169994.5,2025-08-13,True,True,Full,59.25,60.27,61.87,2025-08-13,Internal Assessment,False,,,,,False,0.0,3,1.0,59.25,60.27,61.87,0,4,0,0,0,6.0,57.7536,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0066,Aurora Supply,Turkey,Europe/Asia,Medium,15,Components,Tier 1,Medium,337358.23,2018-07-08,True,True,Limited,63.92,65.36,69.48,2024-08-06,Third-party Rating,False,,,,,False,0.0,3,1.0,63.92,65.36,69.48,2,0,10,0,0,6.0,59.9748,Medium Risk,Medium Spend,Monitor quarterly; request additional evidence
S0067,Lumen Industries,China,Asia,High,25,Metals & Minerals,Tier 1,High,123431.8,2018-11-05,True,True,Partial,64.01,50.19,70.93,2024-02-06,Third-party Rating,True,2025-08-08,69.28,Minor,180.0,False,0.0,3,1.0,64.01,50.19,70.93,5,0,4,0,0,7.18,69.2336,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0068,Helios Holdings,Singapore,Asia,Low,5,Metals & Minerals,Tier 1,Medium,350545.66,2016-05-14,True,True,Partial,84.38,69.06,69.61,2024-08-03,Third-party Rating,False,,,,,False,0.0,3,1.0,84.38,69.06,69.61,2,0,4,0,0,2.0,37.2244,Low Risk,Medium Spend,Approved; monitor annually
S0069,Zenith Materials,United States,Americas,Low,5,Packaging,Tier 1,Low,170789.0,2016-07-06,True,False,Partial,,59.72,,2024-08-22,Internal Assessment,False,,,,,False,0.0,1,0.3333333333333333,72.38,59.72,69.13,0,0,4,0,5,2.0,47.474000000000004,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0070,Argent Components,Brazil,Americas,Medium,15,Metals & Minerals,Tier 1,Low,2569061.08,2018-10-14,True,False,Partial,67.06,46.51,64.81,2025-04-12,Internal Assessment,True,2025-10-26,68.47,None,365.0,False,12.0,3,1.0,67.06,46.51,64.81,0,0,4,0,5,0.3825000000000003,66.11249999999998,Medium Risk,High Spend,Monitor quarterly; request additional evidence
S0071,Zenith Supply,Germany,Europe,Low,5,Logistics,Tier 2,Low,118609.55,2017-06-12,True,True,Partial,72.6,71.33,85.25,2024-03-30,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,72.6,71.33,85.25,0,4,4,0,0,2.0,36.61,Low Risk,Low Spend,Approved; monitor annually
S0072,Atlas Industries,United Arab Emirates,Middle East,Medium,15,Consulting,Tier 2,Low,176084.44,2020-11-21,True,True,Partial,52.91,62.1,76.03,2024-11-24,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,52.91,62.1,76.03,0,4,4,0,0,6.0,58.2656,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0073,Orion Group,Australia,Oceania,Low,5,Packaging,Tier 1,Low,406060.83,2018-05-17,True,False,Partial,93.01,,73.89,2024-06-25,Supplier Questionnaire,False,,,,,False,0.0,2,0.6666666666666666,93.01,64.11,73.89,0,0,4,0,5,2.0,38.418400000000005,Low Risk,Medium Spend,Approved; monitor annually
S0074,Nimbus Holdings,United Kingdom,Europe,Low,5,Facility,Tier 3,Low,193061.39,2023-04-11,True,True,Partial,64.08,75.12,75.04,2025-08-09,Third-party Rating,True,2025-11-19,97.72,None,365.0,True,0.0,3,1.0,64.08,75.12,75.04,0,8,4,0,0,0.0,42.74679999999999,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0075,Vega Holdings,Mexico,Americas,Medium,15,Components,Tier 1,High,1759774.86,2022-05-01,True,True,Partial,80.6,98.0,74.53,2024-07-17,Internal Assessment,False,,,,,False,0.0,3,1.0,80.6,98.0,74.53,5,0,4,0,0,6.0,37.632400000000004,Low Risk,High Spend,Approved; monitor annually
S0076,Atlas Logistics,Japan,Asia,Low,5,Components,Tier 1,High,186648.07,2021-05-09,True,True,Partial,70.91,50.0,76.75,2024-04-07,Supplier Questionnaire,False,,,,,False,0.0,3,1.0,70.91,50.0,76.75,5,0,4,0,0,2.0,49.3352,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
S0077,Nimbus Manufacturing,New Zealand,Oceania,Low,5,Logistics,Tier 2,Medium,62633.28,2016-05-28,True,True,Full,66.76,69.83,67.6,2024-01-01,Supplier Questionnaire,True,2025-07-22,81.27,None,365.0,False,0.0,3,1.0,66.76,69.83,67.6,2,4,0,0,0,0.0,40.4932,Medium Risk,Low Spend,Monitor quarterly; request additional evidence
